artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.text,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",110.78771018981934,None,154.7900161743164,None,157.4736351966858,None,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",157.4736351966858,None,157.45751032829284,None,183.85823106765747,None,,185.90927004814148,None,185.89311571121215,187.89234614372253,187.27543148994445,None,190.67522058486938,None,192.0756634235382,202.075590133667,202.4755075931549,203.47563409805298,203.87565898895264,204.87561511993408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_02_1006,nibs_stage_1,3.2.3,60.013965041608955,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.90930819511414,None,206.89382038116455,208.893208026886,208.27625737190246,None,211.6768404006958,None,213.0767234325409,223.07733011245728,223.4772394657135,None,224.87738418579102,225.87701511383057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_02_1006,nibs_stage_1,3.2.3,60.013965041608955,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.92721509933472,None,227.9116624355316,229.92692399024963,229.2942834854126,None,232.69444642066955,233.69444704055786,234.09450945854186,244.0949730873108,244.49506340026855,None,245.89511513710022,246.8951780796051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_02_1006,nibs_stage_1,3.2.3,60.013965041608955,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.9451789855957,None,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",249.9451789855957,None,249.93091831207275,None,279.34622716903687,None,,281.3963990211487,None,281.3811118125916,283.39639616012573,Die Zähne werden geputzt und der Bart rasiert.,282.77992010116577,None,284.1630993843079,None,296.9638095855713,None,298.3637909889221,300.36399722099304,./data/Subject_00/Session_00/Exp_data/2020_Jul_02_1006/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_02_1006,nibs_stage_1,3.2.3,60.013965041608955,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.397500038147,None,302.38220248222353,304.3976140022278,Früher haben in Europa und Asien Neandertaler gelebt.,303.7808041572571,321.38163900375366,305.1808885097504,None,317.9814985752106,None,319.38159799575806,321.38163900375366,./data/Subject_00/Session_00/Exp_data/2020_Jul_02_1006/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_02_1006,nibs_stage_1,3.2.3,60.013965041608955,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jul_02_1006/rec_QA_run_00_block_000_trial_000.wav,363.9011471271515,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",363.9011471271515,None,363.8687848567963,None,"Please keep relaxed and close your eyes.
",386.9686532020569,397.0022940635681,401.31981015205383,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",401.31981015205383,None,401.30465764999394,None,440.73788809776306,None,Listen to the question and speak out your answer!,443.80566000938416,None,443.7735356807709,445.8051381111145,Ich muss mein Versprechen halten.,halten,445.1881204605103,None,447.52184257507326,None,460.3721705436707,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_02_1006,nibs_stage_1,3.2.3,60.013965041608955,
,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jul_02_1006/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,462.8231911659241,None,462.8071294784546,464.8562750816345,"Es ist nicht erlaubt für alle Autos, vor dem Notausgang zu parken.",parken,464.20584259033205,None,468.6727555751801,None,479.4066234588623,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_02_1006,nibs_stage_1,3.2.3,60.013965041608955,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_02_1006,nibs_stage_1,3.2.3,60.013965041608955,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,True,True,True,True,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_02_1006,nibs_stage_1,3.2.3,60.013965041608955,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jul_02_1006/rec_cali_de_post_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.840704202652,514.8752810955048,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",484.840704202652,514.8752810955048,484.8096521854401,None,515.2250711917877,None,,516.2920110225677,None,516.2591928958893,518.2918741703033,Der Gipfel von Everset ist der höchste der Welt.,517.6919460296631,None,519.07536444664,None,531.8758665084839,None,533.2926621437073,None,,,,00,00,,A1,True,True,True,True,True,False,True,True,True,False,True,True,No,No,No,No,No,No,2020_Jul_02_1006,nibs_stage_1,3.2.3,60.013965041608955,
