artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,19.395258903503418,26.39576506614685,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",19.395258903503418,26.39576506614685,19.379207611083984,None,25.77898097038269,None,,31.695003986358643,None,31.68161678314209,33.695987939834595,33.06300187110901,None,36.46285104751587,None,37.86301589012146,47.86354303359985,48.263566970825195,None,49.6637020111084,50.66372609138489,00,00,,A1,False,False,True,True,False,False,False,True,False,False,True,No,No,No,No,No,No,2020_Jun_28_1954,nibs_stage_1,3.2.3,59.96968847761809,
1,0,1,0,,,,,,,,,,,52.71167206764221,None,52.71616888046265,54.73081994056702,54.09746599197388,None,57.49785900115967,None,58.89769983291626,68.89840602874756,69.29844999313354,None,70.69867205619812,71.69835305213928,00,00,,A1,False,False,True,True,False,False,False,True,False,False,True,No,No,No,No,No,No,2020_Jun_28_1954,nibs_stage_1,3.2.3,59.96968847761809,
2,0,2,0,,,,,,,,,,,73.72941493988037,None,73.73415684700012,75.74838089942932,75.1150119304657,None,78.51519393920898,None,79.91523504257202,89.91572213172913,90.29909896850586,None,91.69925689697266,92.69950890541077,00,00,,A1,False,False,True,True,False,False,False,True,False,False,True,No,No,No,No,No,No,2020_Jun_28_1954,nibs_stage_1,3.2.3,59.96968847761809,
3,0,3,0,,,,,,,,,,,94.7470030784607,None,94.75169491767883,96.76609110832214,96.13297200202942,None,99.53294682502747,100.53292989730835,100.93318486213684,110.9334568977356,111.33348798751831,None,112.7337920665741,113.73356008529663,00,00,,A1,False,False,True,True,False,False,False,True,False,False,True,No,No,No,No,No,No,2020_Jun_28_1954,nibs_stage_1,3.2.3,59.96968847761809,
4,0,4,0,,,,,,,,,,,115.74815511703491,None,115.75267696380615,117.76757311820984,117.13415598869324,None,120.53418397903442,None,121.93405389785767,131.9346969127655,132.33456087112427,None,133.7346169948578,134.73468804359436,00,00,,A1,False,False,True,True,False,False,False,True,False,False,True,No,No,No,No,No,No,2020_Jun_28_1954,nibs_stage_1,3.2.3,59.96968847761809,
5,0,5,0,,,,,,,,,,,136.78364610671997,None,136.7704999446869,138.7851049900055,138.15178203582764,None,141.55190086364746,None,142.95217394828796,152.952486038208,153.35259294509888,None,154.7525770664215,155.75263094902039,00,00,,A1,False,False,True,True,False,False,False,True,False,False,True,No,No,No,No,No,No,2020_Jun_28_1954,nibs_stage_1,3.2.3,59.96968847761809,
6,0,6,0,,,,,,,,,,,157.8014669418335,None,157.78885579109192,159.80280709266663,159.16817092895508,None,162.56963896751404,None,163.96987390518188,173.9702250957489,174.37029099464417,175.3721489906311,175.77031803131104,176.77036595344543,00,00,,A1,False,False,True,True,False,False,False,True,False,False,True,No,No,No,No,No,No,2020_Jun_28_1954,nibs_stage_1,3.2.3,59.96968847761809,
7,0,7,0,,,,,,,,,,,178.80910897254944,None,178.8061718940735,180.8203639984131,180.18728685379028,183.18734192848206,183.58727502822876,184.58722710609436,184.98723793029785,194.98773312568665,195.38790082931519,None,196.78797698020935,197.78791689872742,00,00,,A1,False,False,True,True,False,False,False,True,False,False,True,No,No,No,No,No,No,2020_Jun_28_1954,nibs_stage_1,3.2.3,59.96968847761809,
8,0,8,0,,,,,,,,,,,199.83685898780823,None,199.82367491722107,201.82180404663086,201.20363092422485,204.2050518989563,204.6051149368286,None,206.00539302825928,216.00570106506348,216.40580487251282,None,217.8059470653534,218.80684399604797,00,00,,A1,False,False,True,True,False,False,False,True,False,False,True,No,No,No,No,No,No,2020_Jun_28_1954,nibs_stage_1,3.2.3,59.96968847761809,
9,0,9,0,,,,,,,,,,,220.84267401695251,None,220.8259608745575,222.83931303024292,222.20511102676392,225.20613312721252,225.60615396499634,None,227.00604391098022,237.0065701007843,237.40655994415283,None,238.8066110610962,239.8066599369049,00,00,,A1,False,False,True,True,False,False,False,True,False,False,True,No,No,No,No,No,No,2020_Jun_28_1954,nibs_stage_1,3.2.3,59.96968847761809,
