artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,99.72861194610596,106.72876191139221,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",99.72861194610596,106.72876191139221,99.7165186882019,None,106.11204791069031,None,,110.24778294563293,None,110.23997206687926,112.24700403213501,111.63015637397766,None,115.0303023815155,None,116.43038353919982,126.4311170578003,126.8310094833374,127.83133292198181,128.2312948703766,129.2313768863678,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,131.26464796066284,None,131.2427300930023,133.24822402000427,132.6480065345764,None,136.048180437088,137.04842400550842,137.44828042984008,147.44909000396729,147.84893045425414,None,149.24900603294373,150.24922394752502,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,152.28147387504578,None,152.26057715415953,154.26544404029846,153.64778552055358,None,157.04698238372802,158.04674792289734,158.44829449653625,168.46392703056335,168.84707055091857,None,170.24747395515442,171.24747586250305,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,173.29783296585083,None,173.27549214363097,175.28119897842407,174.66429743766784,None,178.06451544761657,None,179.46466455459594,189.46513485908508,189.85523042678832,None,191.26532292366028,192.2653238773346,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,194.2991819381714,None,194.29411525726317,196.29888606071472,195.68886456489562,None,199.08196840286254,None,200.4821165561676,210.48295307159424,210.88969740867614,None,212.28307485580444,213.28313207626343,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,215.33503007888794,None,215.31185908317565,217.31661105155945,216.71637449264526,None,220.11662850379943,221.11663103103638,221.51647958755493,231.52418494224548,231.91715154647827,None,233.317538022995,234.3175549507141,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,236.33444690704346,None,236.32890815734862,238.3343620300293,237.7343183517456,None,241.1343964099884,None,242.5345805644989,252.5350420475006,252.93496356010436,None,254.33542108535767,255.33526992797852,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,257.3698329925537,None,257.346623134613,259.35190892219543,258.7350383758545,261.7355499267578,262.1254845619202,None,263.53550753593447,273.5361268520355,273.93189058303835,274.9361310005188,275.33599400520325,276.3361258506775,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,278.38726806640625,None,278.36416621208195,280.369971036911,279.7696674823761,282.7701518535614,283.17140851020815,None,284.5763634204865,294.58719396591187,294.97042737007143,None,296.3718500137329,None,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,299.3883650302887,None,299.3768791675568,301.3875319957733,300.7706514358521,303.7709929943085,304.16134057044985,None,305.57776055336,315.5882480144501,315.95477137565615,None,317.37176394462585,318.3717260360718,00,00,,A1,False,False,True,True,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Jun_28_2023,nibs_stage_1,3.2.3,59.9958518035357,
