artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.text,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",11.830265998840332,None,55.81712603569031,None,58.469868898391724,65.51659798622131,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",58.469868898391724,65.51659798622131,58.46705965995788,None,64.85141205787659,None,,71.6516261100769,None,71.6359739780426,73.63591408729553,73.01938824653625,None,76.41940622329712,None,77.81929831504821,87.81996893882751,88.2199833869934,None,89.6200499534607,90.62028503417969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_28_2148,nibs_stage_1,3.2.3,60.02547391499727,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.65227508544922,None,92.63859992027282,94.65366411209106,94.02030138969421,None,97.42047529220581,None,98.82054333686828,108.82095789909363,109.22124319076538,None,110.62117099761963,111.6211850643158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_28_2148,nibs_stage_1,3.2.3,60.02547391499727,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.67154288291931,None,113.65617899894714,115.67107391357422,115.0381854057312,None,118.43822722434997,119.43825507164001,119.83829431533813,129.83877897262573,130.23866229057313,None,131.63886094093323,132.6389410495758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_28_2148,nibs_stage_1,3.2.3,60.02547391499727,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.6880989074707,165.70492100715637,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",135.6880989074707,165.70492100715637,135.67473320961,None,165.0897400379181,None,,169.0395450592041,None,169.02459197044374,171.0242259502411,Das laute Auto meines Nachbarn stört mich jeden Tag.,170.40761995315552,188.0085940361023,171.8076162815094,None,184.60827736854554,None,186.00833296775818,188.0085940361023,./data/Subject_00/Session_00/Exp_data/2020_Jun_28_2148/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_28_2148,nibs_stage_1,3.2.3,60.02547391499727,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.04183506965637,None,190.02690892219545,192.04196500778198,"Zu den hundeartigen Tieren, die in Österreich leben, gehört der Wolf.",191.42527103424072,209.02636194229126,192.82537727355958,193.82538199424744,205.62600831985475,None,207.02628207206726,209.02636194229126,./data/Subject_00/Session_00/Exp_data/2020_Jun_28_2148/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_28_2148,nibs_stage_1,3.2.3,60.02547391499727,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jun_28_2148/rec_QA_run_00_block_000_trial_000.wav,306.11349391937256,None,269.67953991889954,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",269.67953991889954,None,269.663413143158,None,"Please keep relaxed and close your eyes.
",292.712739944458,302.71439003944397,321.6148591041565,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",321.6148591041565,None,321.60010414123536,None,360.99934792518616,None,Listen to the question and speak out your answer!,364.06555795669556,None,364.05184068679813,366.0662519931793,Ich muss mein Versprechen halten.,halten,365.43397932052613,367.3663229942322,367.7827802181244,None,385.6340013027191,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_28_2148,nibs_stage_1,3.2.3,60.02547391499727,
,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jun_28_2148/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,388.06725001335144,None,388.0522511959076,390.0676519870758,"Es ist nicht erlaubt für alle Autos, vor dem Notausgang zu parken.",parken,389.43526034355165,393.5018301010132,393.91844635009767,None,409.63606839179994,410.65164709091187,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_28_2148,nibs_stage_1,3.2.3,60.02547391499727,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.0689709186554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_28_2148,nibs_stage_1,3.2.3,60.02547391499727,
,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jun_28_2148/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,428.58754205703735,None,428.5707145690918,430.6184720993042,"Ein rotes Signal bedeutet, dass ich warten muss.",bedeutet,429.9684262752533,433.01860189437866,433.40193729400636,None,450.16945033073426,451.1861469745636,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_28_2148,nibs_stage_1,3.2.3,60.02547391499727,
,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jun_28_2148/rec_QA_run_00_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,453.62153792381287,None,453.587832069397,455.61971712112427,Wir haben während des Urlaubs ein gemütliches Zimmer in Meeresnähe gemietet.,gemietet,455.00303320884706,None,459.90433340072633,None,475.2040632247925,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_28_2148,nibs_stage_1,3.2.3,60.02547391499727,
