artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.text,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",5.760707855224609,None,49.73040699958801,None,50.34711289405823,77.34824204444885,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",50.34711289405823,77.34824204444885,50.34709622859955,None,77.73160290718079,None,,78.44852900505066,None,78.44821622371674,80.44857001304626,80.83174231052399,None,84.23189141750336,None,85.63197233676911,95.63140106201172,96.03137924671174,None,97.43232798576355,98.43236994743347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.44903898239136,None,98.44903733730317,100.44912791252136,100.832577252388,None,104.23264338970185,None,105.63271143436432,115.63327884674072,116.03331544399262,None,117.41654086112976,118.41665005683899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.45005202293396,None,118.44994237422944,120.45000791549683,120.8333473443985,None,124.23348238468171,None,125.63355329036713,135.63398385047913,136.01733043193818,None,137.4173698425293,138.4176549911499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.4507758617401,168.45211696624756,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",138.4507758617401,168.45211696624756,138.4507813692093,None,168.85087990760803,None,,175.40259289741516,None,175.40241434574128,177.4026539325714,Die Zähne werden geputzt und der Bart rasiert.,177.78616499900818,195.38676404953003,179.18604924678803,180.18621683120728,191.9868252515793,None,193.38672804832458,195.38676404953003,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1342/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.40364384651184,None,195.40343143939972,197.40363097190857,Früher haben in Europa und Asien Neandertaler gelebt.,197.78556990623474,215.38768100738525,199.18692638874055,None,211.98756244182587,None,213.3876190185547,None,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1342/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1342/rec_QA_run_00_block_000_trial_000.wav,247.88874101638794,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",247.88874101638794,None,247.88788421154024,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",268.9254410266876,278.9565808773041,280.3067409992218,320.3414099216461," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",280.3067409992218,320.3414099216461,280.28994374275203,None,320.6914219856262,None,Listen to the question and speak out your answer!,320.7758958339691,None,320.75809154510495,322.7752380371094,Ich muss mein Versprechen halten.,halten,323.126602435112,None,325.49152233600614,326.5086119174957,343.34222438335416,344.3591089248657,344.7590389251709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1342/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,345.793310880661,None,345.7592196941375,347.7927849292755,"Es ist nicht erlaubt für alle Autos, vor dem Notausgang zu parken.",parken,348.17609121799467,None,352.6432593107223,353.6596908569336,368.3775003194809,None,369.7935929298401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1342/rec_cali_de_post_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.7618160247803,400.7790389060974,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",370.7618160247803,400.7790389060974,370.74528338909147,None,401.1621849536896,None,,411.79615783691406,None,411.76279332637785,413.7964129447937,Der Gipfel von Everset ist der höchste der Welt.,414.19654083251953,None,415.5497124433517,None,428.34999945163725,None,429.76325488090515,431.78078603744507,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1342/rec_cali_de_post_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.84828186035156,None,431.8307882070541,433.84761095046997,Ihre Kinder liegen noch im Bett.,434.2474000453949,None,435.63043143749235,None,448.43142821788786,None,449.8485188484192,None,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,451.8317229747772,478.8494498729706,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",451.8317229747772,478.8494498729706,451.8150594472885,None,479.23253989219666,None,,479.2832019329071,None,479.265874671936,481.2840209007263,481.6665132284164,None,485.06816532611845,486.0845880508423,486.46887638568876,496.5173740386963,496.8703904390335,None,498.28705883026123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.31772899627686,None,499.3008852243423,501.3186368942261,501.6697204351425,None,505.10113241672514,None,506.5013933420181,516.518306016922,516.8692033529281,None,518.2850708961487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.3190639019012,None,519.3034694433212,521.3187098503113,521.7033663034439,None,525.1020894289016,526.1188340187073,526.5044973134994,536.5382828712463,536.8861463308334,537.902890920639,538.3028428554535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,False,True,True,False,True,True,No,No,No,No,No,No,2020_Jun_30_1342,nibs_stage_1,3.2.3,60.01714242377845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.336422920227,None," This experiment is finished. 
Thanks for your participation.",,,,,,,,,,,,,,,,,,,,,,,,,,
