artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",39.99969506263733,None,54.999995946884155,None,56.86844086647034,83.8846378326416,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",56.86844086647034,83.8846378326416,56.841707944869995,None,83.25296592712402,None,,87.02181386947632,None,87.00185894966125,89.01974296569824,88.40368261337281,None,91.80285468101502,None,93.20244970321656,103.20227098464966,103.60468163490296,None,105.00235199928284,106.00413489341736,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,108.03753805160522,None,108.0210587978363,110.02389693260193,109.42128863334656,None,112.82144656181336,None,114.22152771949769,124.23672294616699,124.6201726436615,125.62188291549683,126.02187204360962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,129.05713200569153,None,129.0390338897705,131.03716588020325,130.43732657432557,None,133.8392695426941,None,135.2393075466156,145.25464987754822,145.63981070518494,None,147.03789591789246,148.03795504570007,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,150.07410788536072,None,150.05487895011902,152.05933690071106,151.4426926612854,None,154.83858766555787,155.84268593788147,156.24293961524964,166.255530834198,166.64347472190858,None,168.03895902633667,169.0410430431366,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,171.07602906227112,None,171.05796694755554,173.05586791038513,172.4580496788025,None,175.8582257270813,None,177.24395956993104,187.25844287872314,187.64453473091126,None,189.04001998901367,190.04502606391907,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,192.07515382766724,None,192.061949968338,194.0613558292389,193.45904269218445,None,196.85930767059327,None,198.25917854309083,208.2743239402771,208.64585056304932,None,210.04582285881042,211.0455620288849,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,213.09270191192627,None,213.08001589775085,215.0791449546814,214.47921075820923,None,217.8626977443695,None,219.27690472602845,229.29204392433167,229.6806956768036,230.67986798286438,231.06322693824768,232.07552790641785,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,234.1117548942566,None,234.0924518108368,236.09233689308167,235.47577872276307,238.47581005096436,238.87594857215882,None,240.2760347366333,250.27811288833618,250.6782497406006,None,252.07649683952332,253.07822704315186,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,255.11146783828735,None,255.0951509475708,257.0979058742523,256.493665599823,259.49805092811584,259.8955675601959,None,261.28160371780393,271.29600286483765,271.68203654289243,None,273.09611105918884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,276.11264395713806,None,276.09943294525146,278.09894490242004,277.4966656208038,280.5114848613739,280.89926662445066,None,282.2993136882782,292.3137278556824,292.69539775848386,None,294.0971620082855,295.09976601600647,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,297.1304109096527,None,297.1166899204254,299.1166579723358,298.5143317222595,None,301.91437258720396,None,303.3003517627716,313.31295704841614,313.71314158439634,314.7150728702545,315.10100984573364,316.1008598804474,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,318.14828991889954,None,318.13498187065125,320.14664483070374,319.5319625377655,None,322.9302696228027,323.93462896347046,324.33478155136106,334.3492200374603,334.7352296352386,None,336.1186308860779,337.1185598373413,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,339.1659400463104,None,339.1526837348938,341.152135848999,340.5496827602386,343.56450605392456,343.9358076095581,None,345.3360806941986,355.34843492507935,355.75041069984434,None,357.14875292778015,358.15038084983826,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,360.1855459213257,None,360.1673047542572,362.1823890209198,361.56740870475767,None,364.9509076118469,None,366.3676465988159,376.36653995513916,376.75148763656614,None,378.1497709751129,379.14964389801025,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,381.20167088508606,None,381.1881477832794,383.20170998573303,382.5851246356964,None,385.98532071113584,386.9834449291229,387.3853706359863,397.3839099407196,397.7858757019043,None,399.18398094177246,400.18609404563904,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.21945786476135,433.2357289791107,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",403.21945786476135,433.2357289791107,403.21147990226746,None,432.6207299232483,None,,436.0044469833374,None,435.9860167503357,437.985985994339,Die Zähne werden geputzt und der Bart rasiert.,437.371052980423,454.97198486328125,438.76947154998777,None,451.5702835559845,None,452.971825838089,None,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1805/rec_cali_de_pre_trial_000.wav,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.005019903183,None,456.9889087677002,459.00382590293884,Früher haben in Europa und Asien Neandertaler gelebt.,458.3723919391632,475.97135186195374,459.77233066558836,None,472.57143154144285,None,473.97307205200195,475.97135186195374,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1805/rec_cali_de_pre_trial_001.wav,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.02294087409973,None,478.0097737312317,480.02318692207336,Dieses Brot ist maschinell hergestellt worden.,479.3898708820343,496.98893785476685,480.78847255706785,481.7899549007416,493.59070959091184,494.5890648365021,494.9906358718872,496.98893785476685,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1805/rec_cali_de_pre_trial_002.wav,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.0417318344116,None,499.02745175361633,501.0409619808197,Einige NGOs schützen die Rechte der Menschen.,500.40758204460144,518.007040977478,501.80619874000547,None,514.6086017131805,None,516.0065639019012,518.007040977478,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1805/rec_cali_de_pre_trial_003.wav,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.0766899585724,None,520.0624805927276,522.0735440254211,Die Ärztin hat Andrea ein Rezept ausgestellt.,521.4420299530029,539.041286945343,522.8421925544739,None,535.6410397529602,536.6427359580994,537.0411288738251,539.041286945343,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1805/rec_cali_de_pre_trial_004.wav,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.1093559265137,None,541.0918262481689,543.0913078784943,"Ich kann dir gerne mein Fahrrad leihen, wenn du möchtest.",542.4914178848267,None,543.8931466579437,None,556.6772345542907,None,558.0755488872528,None,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1805/rec_cali_de_pre_trial_005.wav,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.0940039157867,None,562.0775299072266,564.092581987381,Lenas Hund Tobi wird immer am Abend gefüttert.,563.4607968330383,581.0616228580475,564.8611885547638,None,577.6600257396698,None,579.0615439414978,581.0766768455505,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1805/rec_cali_de_pre_trial_006.wav,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.1113839149475,None,583.0936007499695,585.0952310562134,Durch ein Fernrohr kann man manchmal sogar die Venus sehen.,584.478765964508,602.0793950557709,585.8789955615997,None,598.6793776988983,None,600.0775029659271,602.0793950557709,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1805/rec_cali_de_pre_trial_007.wav,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.1292638778687,None,604.111419916153,606.1113128662109,Lisa kann schon mit großen Zahlen rechnen.,605.4965019226074,623.0970149040222,606.8948725700378,None,619.7004715442657,None,621.0969150066376,None,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1805/rec_cali_de_pre_trial_008.wav,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.1306998729706,None,625.1139388084412,627.1136178970337,"Ich glaube, es geht um ein rotes Auto.",626.4970319271088,644.098014831543,627.8958755970001,628.8960700035095,640.6977936267853,641.6977169513702,642.0962588787079,644.098014831543,./data/Subject_00/Session_00/Exp_data/2020_Jun_30_1805/rec_cali_de_pre_trial_009.wav,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1805,nibs_stage_1,3.2.3,59.92907335278434,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.1483068466187,None,,,,,,,,,,,,,,,,,,,,,,,,,,
