artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,73.1487090587616,100.16406798362732,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",73.1487090587616,100.16406798362732,73.12971985340118,None,100.53250002861023,None,,113.93367409706116,None,113.93199214935302,115.933758020401,116.31712620258331,None,119.71598999500274,None,121.11756317615509,131.11737608909607,131.51725809574128,None,132.9179470539093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,133.91720390319824,None,133.91732399463655,135.9180510044098,136.30124609470369,None,139.7051321744919,None,141.10281507968904,151.10197496414185,151.50200002193452,152.50269103050232,152.90270900726318,153.9036591053009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,153.9370470046997,None,153.93700132369997,155.93647599220276,156.31962220668794,None,159.70421903133393,None,161.12113111019136,171.12186193466187,171.5043331861496,None,172.90442395210266,173.90448808670044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,173.95431208610535,None,173.9378303050995,175.94183897972107,176.3208719968796,None,179.72270720005037,None,181.12177603244783,191.12207889556885,191.52202503681184,192.52354788780212,192.9220850467682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,193.92437195777893,None,193.92341511249543,195.9235270023346,196.30686514377595,None,199.70685307979585,None,201.10543911457063,211.10539603233337,211.50540821552278,None,212.90592408180237,213.90598797798157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,213.93933510780334,None,213.93935005664827,215.94017696380615,216.32208507061006,None,219.72199909687043,None,221.12276022434236,231.12361693382263,231.5236181497574,None,232.9236240386963,233.92299103736877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,233.9392809867859,None,233.9396621465683,235.93948197364807,236.3226241350174,None,239.72271220684053,240.72373700141907,241.122301030159,251.12387990951538,251.52389113903047,None,252.92388892173767,253.92407703399658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,253.97410106658936,None,253.95741925239565,255.97245693206787,256.33916800022126,259.34064412117004,259.7409340620041,None,261.1396910429001,271.13942193984985,271.53941504955293,None,272.9394369125366,273.9400279521942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,273.9566729068756,None,273.95669906139375,275.95655488967896,276.3399562120438,279.3410038948059,279.7410330057144,None,281.1400791883469,291.1577639579773,291.53980820178987,None,292.9399108886719,293.94079995155334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,293.95720911026,None,293.9574710607529,295.95803904533386,296.34041302204133,299.34149408340454,299.7417451620102,None,301.1425542116165,311.15744709968567,311.5412360906601,None,312.940416097641,313.94096207618713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,False,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jun_30_1838,nibs_stage_1,3.2.3,59.99224762959116,
