artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",7.752729177474976,None,22.738030195236206,None,30.40465021133423,37.422258138656616,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",30.40465021133423,37.422258138656616,30.40439636707306,None,36.78877019882202,None,,45.12184715270996,None,45.103839468956,47.1063551902771,46.48928005695343,None,49.88813812732697,None,51.289578032493594,61.29006314277649,61.690098118782046,None,63.0901620388031,64.09025120735168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,66.13899803161621,None,66.12193949222565,68.12371706962585,67.50708611011505,None,70.90718920230866,None,72.30730016231537,82.30781602859497,82.70779712200165,None,84.10792112350464,85.12463808059692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,87.15738701820374,None,87.1394074678421,89.14151406288147,88.52335913181305,None,91.92507417201996,None,93.32502014636994,103.32411122322083,103.72564418315888,104.7259202003479,105.12426805496216,106.12565422058105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,108.17439723014832,None,108.15708858966828,110.15798616409302,109.54246003627777,None,112.94265515804291,None,114.3413141489029,124.34321713447571,124.74330813884735,None,126.14330005645752,127.14355111122131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,129.19277215003967,None,129.17481739521025,131.17698907852173,130.55890805721282,None,133.96043021678923,None,135.36044318675994,145.36093401908875,145.76134498119353,None,147.16109204292297,148.16108012199402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,150.210431098938,None,150.1929574728012,152.19324207305908,151.57676107883452,None,154.97677118778228,None,156.38156015872954,166.41173601150513,166.79419620037078,167.81181621551514,168.2109260559082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,171.24507117271423,None,171.22664959430693,173.24542808532715,172.6276851415634,None,176.02784616947173,177.04472017288208,177.42894918918608,187.44612908363342,187.82846505641936,None,189.24653506278992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,192.278724193573,None,192.26103646755217,194.2787971496582,193.66308815479277,196.67994713783264,197.06225020885466,None,198.4633601427078,208.47947001457214,208.86385400295256,None,210.28062319755554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,213.31353402137756,None,213.2955764055252,215.31420016288757,214.6974910020828,217.71431708335876,218.09663517475127,219.1134090423584,219.49677021503447,229.51406717300415,229.89823014736174,None,231.31501722335815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,234.34757709503174,None,234.32885749340056,236.34746313095093,235.73080117702483,238.74871110916138,239.13095099925994,240.14882612228394,240.53111798763274,250.54931902885437,250.93166000843047,251.94847917556763,252.3484971523285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1509,nibs_stage_1,3.2.3,59.98366800573765,
