run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,5,0,5,0,Please remain seated until further instruction via the earphone.,96.42970609664917,None,100.46236515045166,None,116.33000898361206,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",116.33000898361206,None,116.32676703929901,None,155.71471095085144,None,Listen to the question and speak out your answer!,159.34805703163147,None,159.3286472082138,161.33296704292297,Dieser Supermarkt hat nur am Tage geöffnet.,geöffnet,160.7326806306839,None,163.91622145175933,None,175.93354351520537,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_005.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,178.366357088089,None,178.34765083789824,180.35033416748047,Er hängte seine Jacke über die Lehne des Stuhls.,hängte,179.73387749195098,None,183.08376867771148,None,194.93445761203765,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_006.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,198.35031700134277,None,198.3319669485092,200.33473801612854,"Früh übt sich, wer ein Meister werden will.",werden,199.71796567440032,202.4514820575714,202.86819250583648,None,214.9187224626541,None,216.31892895698547,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_007.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,218.35113716125488,None,218.333034825325,220.33563804626465,Beim Spinat und Kohl wird man die Blätter essen.,essen,219.71893150806426,222.5024390220642,222.91906650066375,None,234.91966564655303,None,236.3197729587555,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_008.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,238.3521580696106,None,238.33387882709502,240.3366711139679,Er hat den Vorgang im Tagebuch beschrieben.,beschrieben,239.72012145519255,None,242.57053048610686,None,254.91923148632048,None,256.3194751739502,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_009.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,258.35341906547546,None,258.3335810422897,260.33639001846313,Wir leben alle auf der Erde.,leben,259.7196305513382,None,261.9864385843277,None,274.92052562236785,275.9207990169525,276.32079815864563,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_010.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,278.35440015792847,None,278.33490402698516,280.3376340866089,Der Verletzte braucht dringend einen Arzt zu besuchen.,besuchen,279.7377045869827,282.82143115997314,283.2379384756088,None,294.9560666799545,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_011.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,298.37834310531616,None,298.3522258520126,300.3717279434204,"Sie sollten mehr Obst essen, Vitamin C wird Ihnen bei Erkältungen helfen.",helfen,299.7549575090408,304.40533900260925,304.78900249004363,305.8052740097046,314.95608360767363,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_012.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,318.3754141330719,None,318.35345299243926,320.3728530406952,Er konnte auf alle Fragen des Quiz antworten.,antworten,319.756246638298,322.50604796409607,322.89062054157256,None,334.95988566875457,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_013.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,338.37775897979736,None,338.35429604053496,340.3737370967865,Sie kümmert sich nur um ihre eigenen Angelegenheiten.,kümmert,339.75680668354033,None,343.3902626752853,None,354.95783360004424,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_014.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,358.37625002861023,None,358.355336022377,360.3758759498596,Ihre Freundlichkeit gab mir ein Gefühl von Sicherheit.,gab,359.75794751644133,362.9760091304779,363.35813863277434,None,374.958726477623,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1606/rec_QA_run_01_block_000_trial_015.wav,00,00,,A1,False,False,True,False,False,True,False,True,True,True,True,No,1,No,0,5,No,2020_Mai_31_1606,nibs_stage_1,3.2.3,59.9923334382241,
