pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",5.481819152832031,None,20.482340097427368,None,22.500720977783203,52.50324106216431,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",22.500720977783203,52.50324106216431,22.500663805007935,None,52.90226411819458,None,,53.48568296432495,None,53.468879747390744,55.48512601852417,Das laute Auto meines Nachbarn stört mich jeden Tag.,55.86746597290039,None,57.25091080665588,None,70.0697868347168,71.08650016784668,71.48493599891663,None,./data/Subject_00/Session_00/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,False,True,True,True,True,No,No,No,No,No,No,2020_May_28_1741,nibs_stage_1,3.2.3,59.972861173032186,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.48681712150574,None,73.46997981071472,75.48698997497559,"Zu den hundeartigen Tieren, die in Österreich leben, gehört der Wolf.",75.88677310943604,None,77.27015881538391,None,90.07078175544738,None,91.4876971244812,None,./data/Subject_00/Session_00/Exp_data/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,False,True,True,True,True,No,No,No,No,No,No,2020_May_28_1741,nibs_stage_1,3.2.3,59.972861173032186,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/rec_QA_run_00_block_000_trial_000.wav,202.5750710964203,None,159.64212203025818,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",159.64212203025818,None,159.62431921958924,None,"Please keep relaxed and close your eyes.
",180.69222116470337,200.72616600990295,202.50966596603394,None,219.1940050125122,259.2277591228485," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - 40 Hz beep (blank): censored word              
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",219.1940050125122,259.2277591228485,219.178173828125,None,259.61118602752686,None,Listen to the question and speak out your answer!,260.41613602638245,None,260.3944046974182,262.427472114563,Ich muss mein Versprechen halten.,halten,262.7777648448944,264.7279191017151,265.14436583518983,266.1611580848694,277.97890572547914,None,279.39541816711426,None,00,00,,A1,False,True,True,True,False,True,True,True,True,No,No,No,No,No,No,2020_May_28_1741,nibs_stage_1,3.2.3,59.972861173032186,
,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,280.43011498451233,None,280.4120948791504,282.42888498306274,"Es ist nicht erlaubt für alle Autos, vor dem Notausgang zu parken.",parken,282.8123636722565,286.8967671394348,287.27910284996034,None,298.01303987503053,None,299.4297261238098,None,00,00,,A1,False,True,True,True,False,True,True,True,True,No,No,No,No,No,No,2020_May_28_1741,nibs_stage_1,3.2.3,59.972861173032186,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.43095898628235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,False,True,True,True,True,No,No,No,No,No,No,2020_May_28_1741,nibs_stage_1,3.2.3,59.972861173032186,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,312.498064994812,None,312.48033437728884,314.4971971511841,"Ein rotes Signal bedeutet, dass ich warten muss.",bedeutet,314.88074975013734,317.9307701587677,318.3140006542206,None,330.08128266334535,None,331.4982249736786,None,00,00,,A1,False,True,True,True,False,True,True,True,True,No,No,No,No,No,No,2020_May_28_1741,nibs_stage_1,3.2.3,59.972861173032186,
,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_00/Session_00/Exp_data/rec_QA_run_00_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,332.50037908554077,None,332.48199372291566,334.4982211589813,Wir haben während des Urlaubs ein gemütliches Zimmer in Meeresnähe gemietet.,gemietet,334.88167576789857,None,339.7819476604462,None,350.0824437618256,None,351.49907207489014,None,00,00,,A1,False,True,True,True,False,True,True,True,True,No,No,No,No,No,No,2020_May_28_1741,nibs_stage_1,3.2.3,59.972861173032186,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.50006914138794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,False,True,True,True,True,No,No,No,No,No,No,2020_May_28_1741,nibs_stage_1,3.2.3,59.972861173032186,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,A1,False,True,True,True,False,True,True,True,True,No,No,No,No,No,No,2020_May_28_1741,nibs_stage_1,3.2.3,59.972861173032186,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.96837997436523,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",372.96837997436523,None,372.9501908302307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
