run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio_close.started,RS_intro_audio_close.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,Pause_cont.started,Pause_cont.stopped,fade_in_text.started,fade_in_text.stopped,fade_in_cont.started,fade_in_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,6.024543046951294,None,11.008068084716797,None,12.524873971939087,26.52568507194519,12.524873971939087,26.52568507194519,12.524863362312317,None,26.492305994033813,None,26.875659942626953,36.89281415939331,36.859485149383545,None,47.32761907577515,None,,,,,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,55.243683099746704,None,,,,,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
1,0,1,0,0,0,0,0,,,,,,,,,80.57854413986206,94.64603614807129,80.57854413986206,94.64603614807129,80.56184041500092,None,94.57951807975769,None,96.87952399253845,106.9634301662445,106.89635300636292,None,121.01405906677246,None,63.027435064315796,None,68.01171612739563,None,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,126.63104605674744,None,,,,,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
2,0,2,0,0,0,0,0,,,,,,,,,130.1312220096588,144.1819190979004,130.1312220096588,144.1819190979004,130.11483442783356,None,144.11529302597046,None,145.46540093421936,155.54920196533203,155.48231101036072,None,162.3498010635376,None,None,None,None,None,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,163.21624994277954,None,,,,,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
3,0,3,0,0,0,0,0,,,,,,,,,163.61637806892395,177.66708302497864,163.61637806892395,177.66708302497864,163.5996264219284,None,177.60025095939636,None,180.5504560470581,190.60104894638062,190.5344340801239,None,194.25155210494995,None,,,,,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,194.86827516555786,None,,,,,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1511,nibs_stage_1,3.2.3,61.17222218170946,
