artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",20.222161054611206,None,35.20614695549011,None,37.039873123168945,None,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",37.039873123168945,None,37.03954663276672,None,63.42435002326965,None,,65.87456703186035,None,65.85758891105652,67.85793709754944,67.24113764762879,None,70.64131155014039,71.64144611358643,72.04145660400391,82.0421040058136,82.441987657547,None,83.84210205078125,84.84211802482605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.87591409683228,None,86.8754457473755,88.87568998336792,88.258966588974,None,91.65908756256104,None,93.05923857688904,103.0597939491272,103.45982661247254,None,104.85994601249695,105.85994505882263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.89394211769104,None,107.89322485923768,109.89375615119934,109.27712264060975,None,112.67723073959351,None,114.07728853225709,124.07782006263733,124.47783675193787,125.47780394554138,125.87791109085083,126.87794995307922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.91166996955872,None,128.9111758708954,130.91152596473694,130.29472460746766,None,133.69500555992127,None,135.09479274749756,145.09568405151367,145.4956656932831,None,146.89567399024963,147.895770072937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.94577193260193,None,149.92903079986573,151.92926692962646,151.31272974014283,None,154.71257152557374,None,156.112566614151,166.11320805549622,166.51328053474427,None,167.91344904899597,168.9138081073761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.94672298431396,None,170.94684495925904,172.94751906394958,172.3306526184082,None,175.73079171180726,None,177.13081755638123,187.13138914108276,187.53145470619202,188.53147292137146,188.93156099319458,189.93153405189514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.9815559387207,None,191.96526684761048,193.9645709991455,193.34794058799744,None,196.74809875488282,None,198.1481415271759,208.14871406555176,208.548690700531,None,209.94870114326477,210.94876194000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.99901700019836,None,212.98194994926453,214.98234605789185,214.36585059165955,217.36588406562805,217.7659007549286,None,219.16589965820313,229.16652607917786,229.56652059555054,None,230.96652793884277,231.966637134552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.01668214797974,None,233.99987783432007,236.00010204315186,235.38347067832947,238.38358998298645,238.7835747241974,None,240.18374552726746,250.18419098854065,250.58411469459534,251.58434510231018,251.9843771457672,252.9843521118164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.03482699394226,None,255.01752891540528,257.0178949832916,256.4012776851654,259.4014251232147,259.801442527771,None,261.2014426231384,271.2021539211273,271.6020845413208,None,273.0020740032196,274.0022089481354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_01_1436,nibs_stage_1,3.2.3,60.025817531305904,
