run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
2,0,2,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,59.5635290145874,None,"Please keep relaxed and close your eyes.
",245.97358202934265,425.98301005363464,429.3502449989319,None,Listen to the question and speak out your answer!,445.48391103744507,None,445.46725847721103,447.4675018787384,Bitte waschen Sie Ihre Hände mit Seife.,waschen,446.85063927173616,None,449.7343034029007,None,462.05133335590364,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1550/rec_QA_run_02_block_000_trial_000.wav,,,,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_01_1550,nibs_stage_1,3.2.3,59.97723489810043,
2,0,2,0,0,0,0,0,1,0,1,0,,,,,,,,,Listen to the question and speak out your answer!,464.46854996681213,None,464.45144455432893,466.45163893699646,"Oma hat Probleme mit den Zähnen, aber sie fürchtet sich vorm Zahnarzt.",fürchtet,465.8517302751541,470.4687030315399,470.86846630573274,None,481.0359162569046,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1550/rec_QA_run_02_block_000_trial_001.wav,,,,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_01_1550,nibs_stage_1,3.2.3,59.97723489810043,
2,0,2,0,0,0,0,0,2,0,2,0,,,,,,,,,Listen to the question and speak out your answer!,484.46935296058655,None,484.4525018692017,486.45300698280334,"Bitte zahlen Sie sofort, wir nehmen keinen Kredit.",zahlen,485.85257833004,489.1528089046478,489.5527931928635,None,501.05350534915925,502.05345392227173,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1550/rec_QA_run_02_block_000_trial_002.wav,,,,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_01_1550,nibs_stage_1,3.2.3,59.97723489810043,
2,0,2,0,0,0,0,0,3,0,3,0,,,,,,,,,Listen to the question and speak out your answer!,504.48705101013184,None,504.47023227214817,506.4709520339966,Die Blumen in meinem Garten riechen gut.,riechen,505.85417120456697,508.3378849029541,508.7543582201004,None,521.0551013231277,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1550/rec_QA_run_02_block_000_trial_003.wav,,,,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_01_1550,nibs_stage_1,3.2.3,59.97723489810043,
2,0,2,0,0,0,0,0,4,0,4,0,,,,,,,,,Listen to the question and speak out your answer!,524.4718799591064,None,524.4553009033202,526.454747915268,Felix muss schon um sechs Uhr früh aufstehen.,aufstehen,525.8547832250595,None,529.1382343053817,530.1383349895477,541.0555183172225,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1550/rec_QA_run_02_block_000_trial_004.wav,,,,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_01_1550,nibs_stage_1,3.2.3,59.97723489810043,
2,0,2,0,0,0,0,0,5,0,5,0,,,,,,,,,Listen to the question and speak out your answer!,544.4557991027832,None,544.4389955282211,546.4391279220581,"Sie besichtigten das Haus, bevor sie es kauften.",besichtigten,545.8225452184677,None,549.3726243257522,550.3727519512177,561.0233363389968,562.0232820510864,562.4233140945435,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1550/rec_QA_run_02_block_000_trial_005.wav,,,,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_01_1550,nibs_stage_1,3.2.3,59.97723489810043,
2,0,2,0,0,0,0,0,6,0,6,0,,,,,,,,,Listen to the question and speak out your answer!,564.4571659564972,None,564.4400567293167,566.4401850700378,Das Schloss liegt innerhalb der Stadtmauern.,liegt,565.8235832929611,568.2237091064453,568.6406053781509,569.6403551101685,581.0243171930313,582.0242729187012,582.4243609905243,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1550/rec_QA_run_02_block_000_trial_006.wav,,,,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_01_1550,nibs_stage_1,3.2.3,59.97723489810043,
2,0,2,0,0,0,0,0,7,0,7,0,,,,,,,,,Listen to the question and speak out your answer!,584.457839012146,None,584.4411036252975,586.4412050247192,Martin geht in ein Reisebüro und lässt sich von einem Angestellten beraten.,beraten,585.824725317955,None,590.8247012376785,591.8248279094696,601.0252393960952,None,602.4254169464111,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1550/rec_QA_run_02_block_000_trial_007.wav,,,,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_01_1550,nibs_stage_1,3.2.3,59.97723489810043,
2,0,2,0,0,0,0,0,8,0,8,0,,,,,,,,,Listen to the question and speak out your answer!,604.4755229949951,None,604.4588268756866,606.4589409828186,"Araber lieben es, auf den Märkten zu handeln.",handeln,605.8589183568954,608.6758270263672,609.0756632566452,610.0758099555969,621.059641289711,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1550/rec_QA_run_02_block_000_trial_008.wav,,,,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_01_1550,nibs_stage_1,3.2.3,59.97723489810043,
2,0,2,0,0,0,0,0,9,0,9,0,,,,,,,,,Listen to the question and speak out your answer!,624.4605939388275,None,624.4431065797805,626.4432408809662,"Wir bleiben heute zu Hause, weil wir zu müde sind.",bleiben,625.8266124010086,629.093465089798,629.5101641893386,None,641.0274252176284,None,642.4275159835815,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1550/rec_QA_run_02_block_000_trial_009.wav,,,,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_01_1550,nibs_stage_1,3.2.3,59.97723489810043,
