run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
3,0,3,0,0,0,0,0,7,0,7,0,,,,,Listen to the question and speak out your answer!,59.72270107269287,None,59.711451935768125,61.722723960876465,Das Kleid wird fünfzehn Euro kosten.,kosten,61.10585157871246,None,63.92266361713409,None,None,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1633/rec_QA_run_03_block_000_trial_007.wav,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,False,False,False,False,False,True,False,True,True,No,3,No,0,7,No,2020_Jul_01_1633,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,0,0,0,0,8,0,8,0,,,,,Listen to the question and speak out your answer!,73.72334003448486,None,73.70386950969696,75.70659303665161,"Ich sollte aufstehen, wenn morgens der Wecker geläutet.",geläutet,75.09003775119781,78.34007000923157,78.75672166347503,None,90.29073374271393,None,91.69097518920898,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1633/rec_QA_run_03_block_000_trial_008.wav,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,False,False,False,False,False,True,False,True,True,No,3,No,0,7,No,2020_Jul_01_1633,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,0,0,0,0,9,0,9,0,,,,,Listen to the question and speak out your answer!,93.72441506385803,None,93.70509259700775,95.70775198936462,"Keine Sorge, du wirst für diesen Fehler nicht die Schuld tragen.",tragen,95.09095470905304,98.72459506988525,99.1412936925888,None,110.2917505979538,111.29183316230774,111.69193410873413,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1633/rec_QA_run_03_block_000_trial_009.wav,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,False,False,False,False,False,True,False,True,True,No,3,No,0,7,No,2020_Jul_01_1633,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,0,0,0,0,10,0,10,0,,,,,Listen to the question and speak out your answer!,113.72549605369568,None,113.7060515165329,115.708829164505,"Er kann zwanzig Zigarattes pro Tag rauchen, was sehr ungesund ist.",rauchen,115.09200661182403,119.30904197692871,119.72570459842682,None,130.29290263652803,None,131.6930251121521,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1633/rec_QA_run_03_block_000_trial_010.wav,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,False,False,False,False,False,True,False,True,True,No,3,No,0,7,No,2020_Jul_01_1633,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,0,0,0,0,11,0,11,0,,,,,Listen to the question and speak out your answer!,133.74359917640686,None,133.740433716774,135.7432301044464,Unser Biolehrer unterrichtet uns auch machmal im Grünen.,unterrichtet,135.12652056217195,138.56003999710083,138.95996158123017,None,150.3272926092148,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1633/rec_QA_run_03_block_000_trial_011.wav,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,False,False,False,False,False,True,False,True,True,No,3,No,0,7,No,2020_Jul_01_1633,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,0,0,0,0,12,0,12,0,,,,,Listen to the question and speak out your answer!,153.71085405349731,None,153.69164340496064,155.6942811012268,"Es ist Zeit, diesen Ort zu verlassen.",verlassen,155.07746665477754,None,157.86104171276094,None,170.2782875776291,None,171.67836618423462,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1633/rec_QA_run_03_block_000_trial_012.wav,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,False,False,False,False,False,True,False,True,True,No,3,No,0,7,No,2020_Jul_01_1633,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,0,0,0,0,13,0,13,0,,,,,Listen to the question and speak out your answer!,173.72849798202515,None,173.7257747888565,175.72861099243164,Ein Arzt behandelt kranke Leute in einer Praxis oder im Krankenhaus.,behandelt,175.11179559230806,None,179.92880766391755,None,190.31284062862397,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1633/rec_QA_run_03_block_000_trial_013.wav,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,False,False,False,False,False,True,False,True,True,No,3,No,0,7,No,2020_Jul_01_1633,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,0,0,0,0,14,0,14,0,,,,,Listen to the question and speak out your answer!,193.7138750553131,None,193.71022496223452,195.712984085083,Ich legte meine Geldbörse auf den Tisch.,legte,195.07961266040803,197.56316804885864,197.97969071865083,None,210.28043859004976,None,211.68054103851318,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1633/rec_QA_run_03_block_000_trial_014.wav,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,False,False,False,False,False,True,False,True,True,No,3,No,0,7,No,2020_Jul_01_1633,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,0,0,0,0,15,0,15,0,,,,,Listen to the question and speak out your answer!,213.73071002960205,None,213.71130404472353,215.7140669822693,Blut fließt aus einer Wunde.,fließt,215.11426560878755,216.93079018592834,217.33083670139314,None,230.29819457530976,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1633/rec_QA_run_03_block_000_trial_015.wav,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,False,False,False,False,False,True,False,True,True,No,3,No,0,7,No,2020_Jul_01_1633,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,0,0,0,0,16,0,16,0,,,,,Listen to the question and speak out your answer!,233.71540307998657,None,233.6957554101944,235.69873595237732,Der Fluss fließt an der Grenze entlang.,fließt,235.08171861171724,237.39873695373535,237.81537477970124,None,250.2827996492386,None,251.68289518356323,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1633/rec_QA_run_03_block_000_trial_016.wav,,,,,,,,,,,,,,,,,,01,00,English,A2,True,False,False,False,False,False,False,True,False,True,True,No,3,No,0,7,No,2020_Jul_01_1633,nibs_stage_1,3.2.3,59.92402173338458,
