run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Pause_cont.started,Pause_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,0,1,0,0,0,0,0,46.02615690231323,None,Listen to the question and speak out your answer!,61.060173988342285,None,61.06039891242981,63.0602707862854,"Wir müssen Mittel und Wege finden, um das zu ändern.",finden,62.44362058639526,65.61040496826172,66.02710666656495,None,77.64435758590699,None,79.04444980621338,80.04451489448547,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_000.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,1,0,1,0,,,Listen to the question and speak out your answer!,82.09554195404053,None,82.0947651386261,84.09506297111511,Können Sie mir auf Hundert Euro herausgeben?,herausgeben,83.47848453521729,86.19495582580566,86.5950445175171,None,98.67903652191163,99.67909693717957,100.07910299301147,101.07919979095459,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_001.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,2,0,2,0,,,Listen to the question and speak out your answer!,103.14678192138672,None,103.12945003509522,105.1293318271637,"Damit Pflanzen gut wachsen, müssen wir sie mehr Wasser gießen.",gießen,104.51267948150635,None,108.49616255760193,109.4962248802185,119.71347250938416,None,121.11350798606873,122.11373591423035,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_002.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,3,0,3,0,,,Listen to the question and speak out your answer!,124.19867396354675,None,124.1806251525879,126.18045377731323,Seine Großmutter kann ganz spannend erzählen.,erzählen,125.5637225151062,128.1638720035553,128.58068552017212,None,140.7645305633545,141.7647488117218,142.16451287269592,143.16468381881714,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_003.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,4,0,4,0,,,Listen to the question and speak out your answer!,145.23143196105957,None,145.21493406295778,147.21486496925354,"Früh übt sich, wer ein Meister werden will.",werden,146.5983256340027,149.36473894119263,149.74810662269593,None,161.8153916835785,162.83211088180542,163.23226594924927,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_004.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,5,0,5,0,,,Listen to the question and speak out your answer!,166.29950380325317,None,166.28244609832765,168.29903292655945,Durch ein Fernrohr kann man manchmal sogar die Venus sehen.,sehen,167.68232955932618,170.966148853302,171.3492666721344,None,182.8831554889679,None,184.29990696907043,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_005.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,6,0,6,0,,,Listen to the question and speak out your answer!,187.36700797080994,None,187.3501672267914,189.36700081825256,Dieser Supermarkt hat nur am Tage geöffnet.,geöffnet,188.75010647773743,191.53378796577454,191.9169506072998,None,203.95093669891358,None,205.36762690544128,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_006.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,7,0,7,0,,,Listen to the question and speak out your answer!,208.4347939491272,None,208.41796607971193,210.43450784683228,"Um eine Kreditkarte zu bewerben, muss man älter als 18 werden. ",bewerben,209.8178626537323,None,214.25143566131592,None,225.01866068840027,None,226.4353768825531,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_007.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,8,0,8,0,,,Listen to the question and speak out your answer!,229.51896500587463,None,229.48570914268495,231.51894879341125,Die Hausfrau muss jeden Tag Lebensmittel einkaufen.,einkaufen,230.90225853919983,None,234.4691545009613,235.4859697818756,246.10307469367982,None,247.51990699768066,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_008.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
0,0,0,0,1,0,1,0,9,0,9,0,,,Listen to the question and speak out your answer!,250.55339694023132,None,250.52010040283204,252.55339789390564,"Wenn ich mich gestresst fühle, muss ich mich selbst daran erinnern, ruhig zu bleiben.",erinnern,251.93671956062317,256.65353894233704,257.03697457313535,None,267.1375016212463,None,268.55423378944397,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_13_1733/rec_QA_run_00_block_001_trial_009.wav,01,00,English,A2,True,False,False,False,False,False,False,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_13_1733,nibs_stage_1,3.2.3,60.01714242377845,
