pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,fade_in_text.started,fade_in_text.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,5.366708993911743,None,10.352520942687988,None,,,01,01,,,2020_Feb_27_1544,nibs_stage_1,3.2.3,60.023326402195835,
,,,,0,0,0,0,1,0,1,0,,,,,,,01,01,,,2020_Feb_27_1544,nibs_stage_1,3.2.3,60.023326402195835,
,,,,0,0,0,0,,,,,,,,,,,01,01,,,2020_Feb_27_1544,nibs_stage_1,3.2.3,60.023326402195835,
,,,,1,0,1,0,0,0,0,0,,,,,14.251085996627808,24.252406120300293,01,01,,,2020_Feb_27_1544,nibs_stage_1,3.2.3,60.023326402195835,
,,,,1,0,1,0,1,0,1,0,,,,,,,01,01,,,2020_Feb_27_1544,nibs_stage_1,3.2.3,60.023326402195835,
,,,,1,0,1,0,,,,,,,,,,,01,01,,,2020_Feb_27_1544,nibs_stage_1,3.2.3,60.023326402195835,
,,,,2,0,2,0,0,0,0,0,,,,,24.336053133010864,None,01,01,,,2020_Feb_27_1544,nibs_stage_1,3.2.3,60.023326402195835,
,,,,2,0,2,0,1,0,1,0,,,,,,,01,01,,,2020_Feb_27_1544,nibs_stage_1,3.2.3,60.023326402195835,
,,,,2,0,2,0,,,,,,,,,,,01,01,,,2020_Feb_27_1544,nibs_stage_1,3.2.3,60.023326402195835,
,,,,,,,,,,,,,,,,26.352827072143555,None,,,,,,,,,
