pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,fade_in_text.started,fade_in_text.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,5.405520915985107,None,10.392672061920166,None,,,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,0,0,0,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,1,0,1,0,0,0,0,0,,,,,13.291749000549316,23.308132886886597,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,1,0,1,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,2,0,2,0,,,,,,,,,23.925163984298706,33.926936864852905,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,3,0,3,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1727,nibs_stage_1,3.2.3,60.305271512209714,
,,,,,,,,,,,,,,,,,,34.425946950912476,None,,,,,,,,,
