pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,5.22599196434021,None,10.191975116729736,None,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,0,0,0,0,1,0,1,0,,,,,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,0,0,0,0,,,,,,,,,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,1,0,1,0,0,0,0,0,,,,,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,1,0,1,0,1,0,1,0,,,,,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,1,0,1,0,,,,,,,,,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,2,0,2,0,0,0,0,0,,,,,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,2,0,2,0,1,0,1,0,,,,,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,2,0,2,0,,,,,,,,,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,3,0,3,0,0,0,0,0,,,,,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,3,0,3,0,1,0,1,0,,,,,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,3,0,3,0,,,,,,,,,,,01,01,,,2020_Feb_27_1729,nibs_stage_1,3.2.3,60.2754592904279,
,,,,,,,,,,,,,,,,11.609225034713745,None,,,,,,,,,
