pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio_close.started,RS_intro_audio_close.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_in_text.started,fade_in_text.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,6.236425161361694,None,11.220685005187988,None,12.037206172943115,32.03744602203369,12.037206172943115,32.03744602203369,12.037151527404784,32.03744602203369,35.00418210029602,None,38.52094507217407,None,38.52088947296143,None,39.10429811477661,53.504714012145996,56.504562330245975,57.5045850276947,65.5047263622284,66.50470900535583,66.50470900535583,68.50498700141907,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,68.5381760597229,None,115.57371616363525,129.6225471496582,115.57371616363525,129.6225471496582,115.55518145561219,None,129.55551600456238,None,130.72268414497375,140.75640201568604,140.72245717048645,None,143.3258981704712,175.3736321926117,143.3258981704712,175.3736321926117,143.30629119873046,None,175.30659914016724,None,179.54078102111816,204.54119420051575,179.52261543273926,None,180.10717649459838,184.10745215415955,194.50752944946288,None,203.50777239799498,204.5080029964447,203.52408814430237,None,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,208.74004912376404,233.74208617210388,208.74142246246336,None,209.3245913505554,213.32471418380737,223.7250425338745,None,232.72524948120116,233.72526907920837,232.7416431903839,208.74004912376404,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.95780420303345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,240.02480721473694,265.0262460708618,240.02560453414915,None,240.60878534317015,244.60891819000244,254.99258346557616,None,263.9928283214569,264.99284315109253,264.0093581676483,None,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,269.2436330318451,294.2437710762024,269.22630457878114,None,269.8096384525299,273.80996012687683,284.21009941101073,None,293.2105104446411,294.2104160785675,293.2266540527344,269.2436330318451,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.4431700706482,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_000.wav,,,355.31223821640015,369.34596610069275,355.31223821640015,369.34596610069275,355.2955145359039,None,369.2957491874695,None,370.8287830352783,380.8796081542969,380.82958722114563,None,383.51353216171265,415.563499212265,383.51353216171265,415.563499212265,383.4965122699737,None,415.51470923423767,None,416.781601190567,441.7986922264099,416.76415252685547,None,417.3641433238983,421.3816192150116,431.76505250930785,432.78184509277344,440.74892539978026,441.765429019928,440.7654321193695,None,316.1782081127167,326.1782262325287,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
,,,,1,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,446.0163700580597,471.0486800670624,445.998828458786,None,446.5988513946533,450.6320290565491,461.0155393600464,None,470.00167245864867,None,470.0180380344391,446.0163700580597,,,01,01,,,2020_Feb_28_1915,nibs_stage_1,3.2.3,60.0485049091893,
