run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,fade_in_text.started,fade_in_text.stopped,fade_in_cont.started,fade_in_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,6.0570759773254395,None,11.023859977722168,None,,,,,01,01,,,2020_Jan_21_1056,nibs_stage_1,3.2.3,60.020062477014726,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,01,01,,,2020_Jan_21_1056,nibs_stage_1,3.2.3,60.020062477014726,
0,0,0,0,,,,,,,,,,,,,,,,,01,01,,,2020_Jan_21_1056,nibs_stage_1,3.2.3,60.020062477014726,
1,0,1,0,0,0,0,0,,,,,,,,,13.823849201202393,None,18.824097156524658,None,01,01,,,2020_Jan_21_1056,nibs_stage_1,3.2.3,60.020062477014726,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,01,01,,,2020_Jan_21_1056,nibs_stage_1,3.2.3,60.020062477014726,
1,0,1,0,,,,,,,,,,,,,,,,,01,01,,,2020_Jan_21_1056,nibs_stage_1,3.2.3,60.020062477014726,
2,0,2,0,0,0,0,0,,,,,,,,,239.85320210456848,None,244.87009119987488,None,01,01,,,2020_Jan_21_1056,nibs_stage_1,3.2.3,60.020062477014726,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,01,01,,,2020_Jan_21_1056,nibs_stage_1,3.2.3,60.020062477014726,
2,0,2,0,,,,,,,,,,,,,,,,,01,01,,,2020_Jan_21_1056,nibs_stage_1,3.2.3,60.020062477014726,
,,,,,,,,,,,,,,,,270.1373519897461,None,275.1553370952606,None,,,,,,,,,
