run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,0,0,0,5.374588966369629,30.37628197669983,5.3578180313110355,8.358422040939331,8.358367586135865,12.358742952346802,20.35906066894531,None,29.359558486938475,30.359572887420654,29.37554693222046,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,01,01,,,2020_Mar_01_1755,nibs_stage_1,3.2.3,59.97148915544129,
0,0,0,0,0,0,0,0,1,0,1,0,34.5928750038147,59.594398975372314,34.576950979232784,37.576679944992065,37.5768205165863,41.576820850372314,49.577236557006835,50.57735991477966,58.57769455909729,59.57770800590515,58.59375882148743,34.5928750038147,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_001.wav,01,01,,,2020_Mar_01_1755,nibs_stage_1,3.2.3,59.97148915544129,
0,0,0,0,0,0,0,0,2,0,2,0,63.81133794784546,88.81264185905457,63.79474682807922,66.79477190971375,66.79478850364686,70.79497694969177,78.79541149139405,None,87.79593362808228,88.79494500160217,87.81200790405273,63.81133794784546,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_002.wav,01,01,,,2020_Mar_01_1755,nibs_stage_1,3.2.3,59.97148915544129,
0,0,0,0,0,0,0,0,3,0,3,0,93.0290219783783,118.03072690963745,93.01291794776917,96.01293396949768,96.01324763298035,100.01344394683838,108.01362957954407,109.01302886009216,117.01398148536683,None,117.03110599517822,93.0290219783783,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_003.wav,01,01,,,2020_Mar_01_1755,nibs_stage_1,3.2.3,59.97148915544129,
0,0,0,0,0,0,0,0,4,0,4,0,122.26571702957153,147.29830598831177,122.24767861366273,125.24802494049072,125.23121657371522,129.23130989074707,137.24751462936402,None,146.2482325077057,None,146.26573991775513,122.26571702957153,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_004.wav,01,01,,,2020_Mar_01_1755,nibs_stage_1,3.2.3,59.97148915544129,
0,0,0,0,0,0,0,0,5,0,5,0,151.50298690795898,176.5339379310608,151.48232350349426,154.49915385246277,154.48168363571168,158.4992070198059,166.4825126171112,167.50044202804565,175.4827054977417,176.49972200393677,175.50056099891663,151.50298690795898,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_005.wav,01,01,,,2020_Mar_01_1755,nibs_stage_1,3.2.3,59.97148915544129,
0,0,0,0,0,0,0,0,6,0,6,0,180.76742482185364,205.8024458885193,180.73317346572875,183.76657700538635,183.75009360313416,187.76671886444092,195.7505175113678,None,204.75086059570313,205.76757097244263,204.76872181892395,180.76742482185364,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_006.wav,01,01,,,2020_Mar_01_1755,nibs_stage_1,3.2.3,59.97148915544129,
0,0,0,0,0,0,0,0,7,0,7,0,210.03579998016357,235.06907892227173,210.00131950378417,213.0361189842224,212.9846745967865,217.00153803825378,224.98559155464173,226.00339484214783,233.98567667007447,None,234.00376105308533,210.03579998016357,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_007.wav,01,01,,,2020_Mar_01_1755,nibs_stage_1,3.2.3,59.97148915544129,
0,0,0,0,0,0,0,0,8,0,8,0,239.27042603492737,264.3051118850708,239.25267157554626,242.2695279121399,242.2527855873108,246.26969003677368,254.25368061065674,None,263.2538794517517,264.27059388160706,263.2719478607178,239.27042603492737,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_008.wav,01,01,,,2020_Mar_01_1755,nibs_stage_1,3.2.3,59.97148915544129,
0,0,0,0,0,0,0,0,9,0,9,0,268.53842401504517,293.57208490371704,268.5045705795288,271.5390899181366,271.4876564979553,275.50475096702576,283.4884506702423,284.50642490386963,292.488707447052,293.50557804107666,292.50658798217773,268.53842401504517,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_009.wav,01,01,,,2020_Mar_01_1755,nibs_stage_1,3.2.3,59.97148915544129,
