pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,7.893126964569092,None,12.877731084823608,None,13.544527053833008,36.54528212547302,13.544527053833008,36.54528212547302,13.544408774375915,None,36.94497799873352,None,40.76242208480835,None,40.76178071498871,42.7625629901886,43.14593696594238,57.14662194252014,57.54666564464569,58.56243014335632,67.34662673473358,68.3630199432373,68.74732303619385,70.74738597869873,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,70.79762411117554,None,616.8487200737,630.8750190734863,616.8487200737,630.8750190734863,616.8252596616745,None,631.2583110332489,None,646.2606539726257,656.276759147644,658.0599579811096,None,672.3786489963531,704.395378112793,672.3786489963531,704.395378112793,672.3466267347336,None,704.7787001132965,None,707.3293280601501,None,707.3121037244797,709.3289890289307,709.7122747659683,715.3634030818939,724.1130027532578,725.1297719478607,733.9143607378006,734.9302170276642,735.3302619457245,None,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.3480679988861,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,739.0485711097717,None,739.0304186105728,741.0471980571747,741.430524802208,747.0808589458466,755.8313097715378,756.8480370044708,765.6318256616593,766.6491219997406,767.0485639572144,None,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.0662131309509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_000.wav,,,866.4716360569,880.4876611232758,866.4716360569,880.4876611232758,866.4535498380661,None,880.8710191249847,None,883.4225509166718,893.4639120101929,895.2383790016174,None,910.8065400123596,942.8408350944519,910.8065400123596,942.8408350944519,910.7891597509384,None,943.2242350578308,None,945.5245101451874,None,945.507561659813,947.5244190692902,947.9086677789688,953.558121919632,962.3085276842118,963.3253030776978,972.1089386701584,973.125785112381,973.5257420539856,None,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975.5650460720062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,985.7115581035614,None,985.6944417715073,987.7433059215546,988.0932676553726,993.7435510158539,1002.4771797418595,1003.4939460754395,1012.2777037382126,1013.2944829463959,1013.6944761276245,None,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.7454409599304,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1242,nibs_stage_1,3.2.3,60.00846982339274,
