pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,2,0,2,0,1,0,1,0,3,0,3,0,,,,,11.321623086929321,None,16.30561113357544,None,18.60578417778015,50.60746908187866,18.60578417778015,50.60746908187866,18.58914952278137,None,51.00651216506958,None,55.141221046447754,None,55.12434389591217,57.1241819858551,57.524151825904845,63.14163899421692,71.92516877651215,72.94188117980957,81.72522189617158,82.72578406333923,83.12518000602722,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_003.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,2,0,2,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,85.14219307899475,None,85.12683489322663,87.15871715545654,87.52574779987336,93.17605495452881,101.9442317724228,102.9613389968872,111.74343492984772,112.76025915145874,113.12633609771729,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_004.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,115.17688608169556,147.2134189605713,115.17688608169556,147.2134189605713,115.1600926399231,None,147.5966591835022,None,149.59686303138733,None,149.57827379703522,151.59545016288757,151.9802129507065,157.62912511825562,166.37911989688874,167.39649295806885,176.17961790561677,177.19658207893372,177.59660601615906,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,179.59892296791077,None,179.58030989170075,181.59714102745056,181.9801388025284,187.6302261352539,196.3810427427292,197.3975169658661,206.1653387784958,207.18163514137268,207.6156041622162,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,209.6152970790863,None,209.5983288526535,211.61542105674744,211.99850680828095,217.64987206459045,226.39888694286347,227.41713404655457,236.19968678951264,237.21681714057922,237.6163251399994,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,239.61666297912598,None,239.60004975795746,241.61785197257996,241.9997668504715,247.65078806877136,256.4012418031692,257.4178421497345,266.20132782459257,267.21809911727905,267.61785101890564,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_003.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,269.6182470321655,None,269.6012859582901,271.61874198913574,272.0017519235611,277.65218210220337,286.4020397901535,287.4187231063843,296.1863229513168,297.20296597480774,297.6033170223236,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_000_trial_004.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,299.6203989982605,None,299.6032345771789,301.61997509002686,301.9699108839035,307.6198170185089,316.3707118272781,317.3875961303711,326.1874647378921,327.2047381401062,327.60423016548157,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,329.60502409935,None,329.58777883052824,331.60438203811646,331.9878719091415,337.6385831832886,346.38849284648893,347.4057421684265,356.18941190242765,357.206041097641,357.60587906837463,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,359.60660004615784,None,359.5895097494125,361.6067900657654,361.98970391750333,367.63991618156433,376.40691473484037,377.42397117614746,386.20760490894315,387.2243881225586,387.6243300437927,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_001_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,389.62460112571716,None,389.607634806633,391.6241600513458,392.0083527803421,397.64151906967163,406.4253928899765,407.4418761730194,416.2257848024368,417.2425220012665,417.64229798316956,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_001_trial_003.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,419.64694809913635,None,419.5926618814468,421.6104521751404,422.01049687862394,427.65977716445923,436.41034891605375,437.42709398269653,446.2106447458267,447.22745513916016,447.62740206718445,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_03_block_001_trial_004.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_cali_de_post_trial_000.wav,449.64439606666565,472.678817987442,449.64439606666565,472.678817987442,449.6105609178543,None,473.06210708618164,None,474.82924604415894,None,474.7957267999649,476.8303060531616,477.2287380695343,491.2462890148163,491.5962169408798,492.6132640838623,501.3968749284744,502.4133231639862,502.8303141593933,None,,,01,01,,,2020_Mar_03_1510,nibs_stage_1,3.2.3,59.98255283487832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.84782004356384,None,,,,,,,,,
