pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,10.168376922607422,None,15.168417930603027,None,20.718898057937622,43.75340390205383,20.718898057937622,43.75340390205383,20.70199019908905,None,44.13658905029297,None,45.337975025177,None,45.32022197246552,47.33675789833069,47.73678207397461,61.77082800865173,62.120839190483096,None,71.92134006023407,72.93803191184998,73.33816695213318,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_2102,nibs_stage_1,3.2.3,59.97646301791013,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,75.35587406158447,107.38990592956543,75.35587406158447,107.38990592956543,75.3382131099701,None,107.77343487739563,None,114.74136805534363,None,114.70707018375397,116.74026703834534,117.12363798618317,120.5404760837555,131.52436716556548,None,141.32485516071318,None,142.74159502983093,None,,,,,,,,,01,01,,,2020_Mar_03_2102,nibs_stage_1,3.2.3,59.97646301791013,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_2102,nibs_stage_1,3.2.3,59.97646301791013,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,144.75960206985474,None,144.72503502368926,146.7587010860443,147.1418121576309,None,161.54256708621978,None,171.34320504665374,None,172.75978803634644,None,,,,,,,,,01,01,,,2020_Mar_03_2102,nibs_stage_1,3.2.3,59.97646301791013,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_2102,nibs_stage_1,3.2.3,59.97646301791013,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_2102,nibs_stage_1,3.2.3,59.97646301791013,
,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_000.wav,174.74427390098572,206.77817392349243,174.74427390098572,206.77817392349243,174.72671308517454,None,207.16155910491943,None,208.96302008628845,None,208.9449470758438,210.96171808242798,211.34507114887236,214.2954080104828,225.7458310842514,226.7628390789032,235.54632503986358,None,236.963073015213,None,,,,,,,,,01,01,,,2020_Mar_03_2102,nibs_stage_1,3.2.3,59.97646301791013,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_2102,nibs_stage_1,3.2.3,59.97646301791013,
,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_000.wav,,,,,,,,,238.98094606399536,None,238.94654018878936,240.98011207580566,241.36326415538787,246.4135239124298,255.76403601169585,None,265.56449801921843,None,266.98141288757324,None,,,,,,,,,01,01,,,2020_Mar_03_2102,nibs_stage_1,3.2.3,59.97646301791013,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mar_03_2102,nibs_stage_1,3.2.3,59.97646301791013,
