pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,13.606619119644165,None,18.59066605567932,None,19.29068398475647,42.29113507270813,19.29068398475647,42.29113507270813,19.2906596660614,None,42.67537808418274,None,43.90788817405701,None,43.907601833343506,45.908658027648926,46.292025089263916,60.29269313812256,60.692718744277954,None,70.49320864677429,None,71.89344501495361,73.89354395866394,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_03_2126,nibs_stage_1,3.2.3,59.97646301791013,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,73.94362306594849,105.9449679851532,73.94362306594849,105.9449679851532,73.92686533927917,None,106.34399104118347,None,108.64508199691772,None,108.62810468673706,110.62852096557617,111.02856373786926,None,125.42923665046692,None,135.22972583770752,136.22977495193481,136.62979912757874,None,,,,,,,,,01,01,,,2020_Mär_03_2126,nibs_stage_1,3.2.3,59.97646301791013,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_03_2126,nibs_stage_1,3.2.3,59.97646301791013,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,138.64662098884583,None,138.6300778388977,140.62999606132507,141.03000783920288,None,155.4308078289032,156.4308021068573,165.2311978340149,None,166.63147115707397,None,,,,,,,,,01,01,,,2020_Mär_03_2126,nibs_stage_1,3.2.3,59.97646301791013,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_03_2126,nibs_stage_1,3.2.3,59.97646301791013,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_03_2126,nibs_stage_1,3.2.3,59.97646301791013,
,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_000.wav,168.6646010875702,200.66650199890137,168.6646010875702,200.66650199890137,168.64802241325378,None,201.0486490726471,None,205.4999451637268,None,205.48287272453308,207.48347306251526,207.88347673416138,210.80013012886047,222.28401279449463,223.28407311439514,232.08452081680298,None,233.48485803604126,None,,,,,,,,,01,01,,,2020_Mär_03_2126,nibs_stage_1,3.2.3,59.97646301791013,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_03_2126,nibs_stage_1,3.2.3,59.97646301791013,
,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_000.wav,,,,,,,,,235.5013129711151,None,235.50134348869324,237.50152897834778,237.86810183525085,241.55164504051208,252.26886677742004,253.2689130306244,262.06932377815247,263.06938004493713,263.4694001674652,265.4695041179657,,,,,,,,,01,01,,,2020_Mär_03_2126,nibs_stage_1,3.2.3,59.97646301791013,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_03_2126,nibs_stage_1,3.2.3,59.97646301791013,
