pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
,,,,0,0,0,0,,,,,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
,,,,1,0,1,0,,,,,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
,,,,2,0,2,0,,,,,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
,,,,3,0,3,0,,,,,,,,,,,,,01,01,,,2020_Mär_09_1124,nibs_stage_1,3.2.3,59.99876978535615,
