run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,filename,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
,,,,,,,,,,,,0,0,0,0,,61.981301069259644,None,61.97426898479462,63.98112607002258,"Wo Licht ist, ist auch Schatten.",63.3478000164032,80.94849014282227,64.74790160655975,None,77.548344540596,None,78.94850611686707,80.94849014282227,./data/Subject_01/Session_02/Exp_data/2020_Jul_13_1929/rec_cali_de_post_trial_000.wav,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
,,,,,,,,,,,,1,0,1,0,,83.99881196022034,None,83.98344151973724,85.99883508682251,Manche Menschen essen mehr Fleisch als Gemüse.,85.3821530342102,102.98306608200073,86.78226344585418,None,99.56633656024933,None,100.96634602546692,102.96641898155212,./data/Subject_01/Session_02/Exp_data/2020_Jul_13_1929/rec_cali_de_post_trial_001.wav,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
,,,,,,,,,,,,2,0,2,0,,106.0164270401001,None,106.00120847225189,108.01669502258301,Der Mars hat eine orangerote Farbe.,107.38332295417786,124.98421502113342,108.78339164257049,None,121.58403651714325,None,122.9843111038208,124.98421502113342,./data/Subject_01/Session_02/Exp_data/2020_Jul_13_1929/rec_cali_de_post_trial_002.wav,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
,,,,,,,,,,,,3,0,3,0,,128.03426003456116,None,128.0190865278244,130.03448390960693,Für mich ist die schönste aller Blumen die Rose.,129.4177839756012,147.01871609687805,130.8178884267807,131.8178369998932,143.6018676042557,None,145.0019850730896,147.00202894210815,./data/Subject_01/Session_02/Exp_data/2020_Jul_13_1929/rec_cali_de_post_trial_003.wav,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
,,,,,,,,,,,,4,0,4,0,,150.05204606056213,None,150.03686158657075,152.0520739555359,Können Sie fünfzig Euro wechseln?,151.43540406227112,169.03653001785278,152.83548061847688,None,165.61948149204255,None,167.01950907707214,169.0196430683136,./data/Subject_01/Session_02/Exp_data/2020_Jul_13_1929/rec_cali_de_post_trial_004.wav,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
,,,,,,,,,,,,5,0,5,0,,172.06998896598816,None,172.05447046756746,174.06989312171936,Ein Gewitter besteht aus Blitz und Donner.,173.4533829689026,191.05425310134888,174.8532206296921,None,187.6372665643692,None,189.03728604316711,191.0374779701233,./data/Subject_01/Session_02/Exp_data/2020_Jul_13_1929/rec_cali_de_post_trial_005.wav,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
,,,,,,,,,,,,6,0,6,0,,194.08771896362305,None,194.07227556705476,196.08771395683289,Dieses Brot ist maschinell hergestellt worden.,195.47103595733643,213.07207608222961,196.87112443447114,197.87118911743164,209.65512840747834,None,211.05518913269043,213.05527901649475,./data/Subject_01/Session_02/Exp_data/2020_Jul_13_1929/rec_cali_de_post_trial_006.wav,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
,,,,,,,,,,,,7,0,7,0,,216.10555410385132,None,216.09068052768708,218.1055600643158,Der Ton macht die Musik.,217.488872051239,235.08979296684265,218.88895552158357,219.88902807235718,231.6895984888077,232.68964290618896,233.1231141090393,235.13986802101135,./data/Subject_01/Session_02/Exp_data/2020_Jul_13_1929/rec_cali_de_post_trial_007.wav,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
,,,,,,,,,,,,8,0,8,0,,238.1232669353485,None,238.10794847011567,240.1233561038971,Kennst du die Zyklen des Mondes?,239.5067539215088,257.10781812667847,240.9067694425583,None,253.69091455936433,None,255.09104704856873,257.09107303619385,./data/Subject_01/Session_02/Exp_data/2020_Jul_13_1929/rec_cali_de_post_trial_008.wav,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
,,,,,,,,,,,,9,0,9,0,,260.14168095588684,None,260.1259845972061,262.14143109321594,In Österreich darf ein Präsident 6 Jahre regieren.,261.5247130393982,279.12566804885864,262.92478744983674,263.92487692832947,275.72547643184663,276.7255630493164,277.1256880760193,279.12566804885864,./data/Subject_01/Session_02/Exp_data/2020_Jul_13_1929/rec_cali_de_post_trial_009.wav,,,,01,02,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_13_1929,nibs_stage_1,3.2.3,59.99731075896676,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.1591739654541,None," This experiment is finished. 
Thanks for your participation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
