artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",14.885142803192139,None,29.869415998458862,None,30.902662992477417,None,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",30.902662992477417,None,30.88429138660431,None,57.27132797241211,None,,59.30397176742554,None,59.301078748703006,61.30469083786011,60.68781921863556,None,64.0881671667099,65.08838176727295,65.48814914226531,75.48874092102051,75.88864014148712,None,77.28885078430176,78.28897094726562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.32189798355103,None,80.3020844221115,82.30576491355896,81.68899629116058,None,85.0891732931137,None,86.48924515247344,96.48970699310303,96.88978717327117,None,98.28988599777222,99.29012680053711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.32337880134583,None,101.31967828273773,103.32336378097534,102.70672509670257,None,106.10696122646331,None,107.50706026554107,117.50720477104187,117.9075441122055,None,119.3076548576355,120.3072919845581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.3412299156189,None,122.33741924762725,124.34117078781128,123.72454116344451,None,127.12468621730804,128.12483882904053,128.52490422725677,138.52551698684692,138.92528126239776,139.9253969192505,140.3253939151764,141.32547998428345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.37515687942505,None,143.35523126125335,145.35867500305176,144.74222419261932,None,148.1425432920456,149.1425428390503,149.54253027439117,159.54304885864258,159.943071103096,None,161.34314894676208,162.3432059288025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.39313793182373,None,164.37296936511993,166.37674283981323,165.7599062681198,None,169.16023228168487,None,170.56015322208404,180.56078696250916,180.9607782125473,None,182.36090087890625,183.3609528541565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.4105408191681,None,185.3907484769821,187.39420294761658,186.77712819576263,None,190.17810509204864,None,191.57799122333526,201.57851791381836,201.97848007678985,202.978670835495,203.3786277770996,204.37808084487915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.4288148880005,None,206.4078533411026,208.4121057987213,207.79552624225616,210.79567289352417,211.19561812877654,212.195170879364,212.5954560995102,222.59573698043823,222.99579713344573,None,224.39578080177307,225.39582681655884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.44603776931763,None,227.42562839984893,229.42937684059143,228.8125712633133,231.81273198127747,232.21272823810577,None,233.6128880739212,243.61357188224792,244.01342508792877,None,245.41359186172485,246.41358280181885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.4638888835907,None,248.44343826770782,250.4473958015442,249.83099529743194,252.83140397071838,253.2311560869217,None,254.63114426136016,264.63145089149475,265.03199527263644,None,266.4319589138031,267.4319829940796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_02_1020,nibs_stage_1,3.2.3,59.99121794514219,
