run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.text,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
3,0,3,0,0,0,0,0,0,0,0,0,,,,,Please remain seated until further instruction via the earphone.,67.78428888320923,None,277.22829604148865,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",277.22829604148865,None,277.21065478324886,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",300.26255989074707,480.2726390361786,483.65562200546265,None,497.6732988357544,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",497.6732988357544,None,497.6713726997375,None,537.0750019550323,None,Listen to the question and speak out your answer!,540.1428480148315,None,540.1398714542389,542.1418218612671,"Das sind Wörter, die vor allem junge Leute benutzen.",benutzen,541.5085487604141,544.6086978912354,545.0253949403763,546.0254468917847,556.7098508119583,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,559.142942905426,None,559.1254396915435,561.1265368461609,Sie besichtigen die Sehenswürdigkeiten.,besichtigen,560.5268228292465,None,563.3603139162063,564.3604428768158,575.7271609544754,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,579.1274108886719,None,579.1092648744583,581.111142873764,"Ich war begeistert, als ich das Spiel fast gewonnen hätte.",gewonnen,580.4946007966995,584.0110640525818,584.4279768705368,None,595.6952338457107,596.6950919628143,597.095113992691,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,599.1618268489838,None,599.1439126253127,601.1457779407501,"Ich muss meinen Nachnamen oft langsam buchstabieren, weil er zu selten ist.",buchstabieren,600.5289068460464,604.9791738986969,605.3958268404007,None,615.7298667669296,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_003.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,619.146518945694,None,619.1285686969757,621.1299109458923,"In Europa gibt es vier Jahrezeiten, am Zentralafrika nur eine.",gibt,620.5299299001693,None,625.4302847623825,None,635.7307799100876,636.730849981308,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_004.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,639.1306428909302,None,639.1129617929458,641.1139969825745,"Wir haben eine Testversion heruntergeladen, um die Nutzbarkeit der Software zu testen.",heruntergeladen,640.4976749658584,645.8140180110931,646.2307007551193,647.2307529449463,655.6984858751297,656.6985790729523,657.0985729694366,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_005.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,659.1656589508057,None,659.1473716020583,661.1650428771973,Ich male sehr gerne Ölbilder.,male,660.5317118406296,None,663.0315377950668,664.0323638916016,675.7491207361221,676.7497038841248,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_006.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,679.2824020385742,None,679.2650167942047,681.2992389202118,Persönliche Daten sollen geheim bleiben.,bleiben,680.6827647924423,683.1329019069672,683.5160959005356,684.5329489707947,695.8834667444229,696.9000780582428,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_007.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,699.2672820091248,None,699.248836016655,701.2670118808746,Die Bergsteiger sind in die Wand eingestiegen.,eingestiegen,700.6169407606125,None,703.5838418245315,None,715.8177638292312,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_008.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,719.1698930263519,None,719.1499396085738,721.168105840683,Ihr fehlt es an ausreichender Berufserfahrung für diese Position.,fehlt,720.5512979269027,724.601634979248,724.9848788022995,726.0016269683838,735.752197766304,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_009.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,739.1361820697784,None,739.1177067995071,741.1359360218048,Unser Biolehrer unterrichtet uns auch machmal im Grünen.,unterrichtet,740.519017958641,743.9694268703461,744.3526289701462,745.3694579601288,755.7199478387832,756.7365598678589,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_010.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,759.1368899345398,None,759.1187708616256,761.1370780467987,Sam hat gerade das Abitur bestanden und wird sich für die Universität Wien bewerben. ,bewerben,760.5201778650284,765.6704800128937,766.0539069414139,None,775.7042417764663,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_011.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,779.138237953186,None,779.1199546337127,781.137955904007,Wer soll den Geschirrspüler einräumen?,einräumen,780.5211527585983,782.738214969635,783.1213767766952,None,795.7222178220749,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_012.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,799.1895928382874,None,799.1541736841201,801.1891939640045,"Denk nicht so viel darüber nach, das wird nichts bringen.",bringen,800.5723059415817,803.6894929409027,804.0390708684921,None,815.7399468660354,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_013.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,819.1237449645996,None,819.1052398920059,821.12331199646,In Wien tanzt man gerne Walzer.,tanzt,820.5066018342972,None,823.0067918539047,824.0234639644623,835.7073447942734,None,None,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_014.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
3,0,3,0,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,839.1409559249878,None,839.1062767744064,841.1414029598236,Sie hat die Äpfel vom Baum geholt.,geholt,840.4910118818283,842.6411769390106,843.0577438116073,None,855.691807770729,856.7085380554199,857.1085479259491,None,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1209/rec_QA_run_03_block_000_trial_015.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_02_1209,nibs_stage_1,3.2.3,59.791443629194475,
