run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
,,,,,,,,,,,,7,0,7,0,,65.54944801330566,None,65.53375613689423,67.53330707550049,"In Europa gibt es vier Jahrezeiten, am Zentralafrika nur eine.",66.93287920951843,84.53358912467957,68.33337466716766,None,81.13372867107391,None,82.5334939956665,84.53358912467957,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1251/rec_cali_de_post_trial_007.wav,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
,,,,,,,,,,,,8,0,8,0,,87.56718015670776,None,87.55210559368133,89.55078411102295,Im Weltraum hört man keinen Ton.,88.93440103530884,106.53472900390625,90.33451359272003,None,103.13451068401336,None,104.53463912010193,106.53472900390625,./data/Subject_02/Session_00/Exp_data/2020_Jul_02_1251/rec_cali_de_post_trial_008.wav,02,00,English,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,7,2020_Jul_02_1251,nibs_stage_1,3.2.3,60.23079618364897,
