artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",25.65873098373413,None,40.64262008666992,None,42.24281907081604,None,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",42.24281907081604,None,42.24342515468597,None,68.62772107124329,None,,70.67782711982727,None,70.66245155334474,72.67793011665344,72.06139209270478,None,75.46134116649628,76.46146202087402,76.86147620677949,86.8619909286499,87.26210405826569,None,88.66207695007324,89.66231894493103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,92.69564700126648,None,92.68025329113007,94.69573092460632,94.06240322589875,None,97.46256425380707,98.46280193328857,98.86263325214387,108.86331391334534,109.26318719387055,None,110.66329097747803,111.66328310966492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,114.71365904808044,None,114.71466760635377,116.730229139328,116.09688522815705,None,119.49703505039216,None,120.8972380399704,130.89761209487915,131.29770305156708,None,132.69775009155273,133.69776391983032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,136.73162698745728,136.73162698745728,136.73255543708802,138.74794507026672,138.11467220783234,None,141.5148592233658,None,142.91498305797577,152.91542792320251,153.31546213626862,None,154.71551990509033,155.71548795700073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,158.74892711639404,158.74892711639404,158.73368146419526,160.7489469051361,160.13234522342682,None,163.5325172185898,None,164.9326920747757,174.9331569671631,175.33318521976472,None,176.73333597183228,177.73355507850647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,180.76694512367249,None,180.75145628452302,182.76699113845825,182.13360812664033,None,185.53383114337922,186.53400492668152,186.93391420841218,196.93441104888916,197.33443214893342,None,198.73441290855408,199.73455691337585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,202.78478693962097,None,202.76930429935456,204.78497290611267,204.1514442205429,None,207.55158021450043,None,208.9516940355301,218.9521300792694,219.3521530866623,None,220.75230503082275,221.75250697135925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,224.81918907165527,None,224.80380349159242,226.81931710243225,226.18611505031586,229.18608403205872,229.58615520000458,None,230.9861600637436,240.98673701286316,241.38667418956757,None,242.78683400154114,243.78703594207764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,246.8369541168213,None,246.8216514825821,248.83689093589783,248.2035250902176,251.203684091568,251.60375406742097,None,253.00370409488679,263.0042939186096,263.4043362379074,264.4042921066284,264.8043909072876,265.80444598197937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,268.8546690940857,None,268.8391323328018,270.85462403297424,270.2213630914688,273.22157406806946,273.6215331792831,None,275.0216021776199,285.02210307121277,285.42211916446684,None,286.82220101356506,287.8221709728241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_05_1018,nibs_stage_1,3.2.3,59.96608744635039,
