run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
3,0,3,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,101.43981981277466,None,"Please keep relaxed and open your eyes.
Note: Blinking is allowed.",287.8500328063965,467.8589680194855,471.2426359653473,None,Listen to the question and speak out your answer!,486.293301820755,None,486.2748690843582,488.2767949104309,Wir können das Fleisch grillen oder braten.,grillen,487.67689287662506,490.1602280139923,490.56031572818756,491.5603778362274,502.8777447938919,None,504.27806997299194,505.2778170108795,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_000.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,1,0,1,0,,,,,,,,,Listen to the question and speak out your answer!,507.3780629634857,None,507.36017978191376,509.3613770008087,Das Bild kann mir die Uhrzeitangabe verstehen helfen.,helfen,508.7447177171707,None,512.2948967218399,None,523.9455078840256,None,525.3456289768219,526.3456268310547,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_001.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,2,0,2,0,,,,,,,,,Listen to the question and speak out your answer!,528.412446975708,None,528.3947250843048,530.395889043808,"Es ist nicht zulässig, bei der Prüfung Hilfsmittel zu benutzen.",benutzen,529.795728802681,533.4293878078461,533.8294457197189,534.8294548988342,544.9966157674789,545.9968378543854,546.3967349529266,547.3967578411102,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_002.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,3,0,3,0,,,,,,,,,Listen to the question and speak out your answer!,549.4640018939972,None,549.4458028078079,551.4472780227661,Du muss deine schmutzige Kleidung in der Wäscherei waschen.,waschen,550.8469008207321,None,554.3804558515549,None,566.0476108789444,None,567.4312999248505,568.4311988353729,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_003.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,4,0,4,0,,,,,,,,,Listen to the question and speak out your answer!,570.5153329372406,None,570.496918797493,572.5312650203705,In der Parfümerie riecht es sehr stark nach verschiedenen Düften.,riecht,571.8980828523636,575.6816689968109,576.0816618204117,None,587.0988599061966,None,588.4988420009613,589.4990170001984,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_004.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,5,0,5,0,,,,,,,,,Listen to the question and speak out your answer!,591.565614938736,None,591.5314030647278,593.5489978790283,An unserem Baum hängen viele reife Birnen,hängen,592.9326437711716,595.7494218349457,596.16590487957,None,608.1498178243637,609.1499938964844,609.5499219894409,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_005.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,6,0,6,0,,,,,,,,,Listen to the question and speak out your answer!,612.5838358402252,None,612.5657920837402,614.566722869873,Zur Registrierung meines Kontos musste ich ein Formular ausfüllen.,ausfüllen,613.9666458368301,618.000480890274,618.4005488157272,None,629.1676858663559,None,630.5676870346069,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_006.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,7,0,7,0,,,,,,,,,Listen to the question and speak out your answer!,633.6012599468231,None,633.5833631753922,635.5847198963165,Jetzt liest er seiner Mutter eine Geschichte vor.,liest,634.9681009054184,637.7348008155823,638.1512838602066,None,650.185232758522,None,651.6019809246063,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_007.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,8,0,8,0,,,,,,,,,Listen to the question and speak out your answer!,654.6692628860474,None,654.6512318849564,656.6689348220825,Du solltest deiner Geliebten Blumen zum Geburtstag schenken.,schenken,656.0522097349167,None,659.9190827608109,None,671.253014922142,None,672.6696829795837,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_008.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,9,0,9,0,,,,,,,,,Listen to the question and speak out your answer!,675.7368860244751,None,675.7188659906387,677.7366998195648,Der Artikel hat uns über die Ursache des Erderwärmung informiert.,informiert,677.1199787855148,680.9705119132996,681.353532910347,None,692.3208059072495,None,693.7375359535217,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_009.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,10,0,10,0,,,,,,,,,Listen to the question and speak out your answer!,696.8046758174896,None,696.7866209745407,698.8044579029083,Man bezahlt für den Naturschutz.,bezahlt,698.1877518892288,700.2711958885193,700.654562830925,None,713.3885139226913,None,714.805333852768,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_010.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,11,0,11,0,,,,,,,,,Listen to the question and speak out your answer!,717.8734428882599,None,717.8544219732285,719.8722248077393,"In Neuseeland und Irland ist es so grün, weil es besonders oft regnet.",regnet,719.2555178403854,723.605849981308,723.9891158342361,None,734.4397169351578,735.4564688205719,735.8565039634705,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_011.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,12,0,12,0,,,,,,,,,Listen to the question and speak out your answer!,738.9065759181976,None,738.8889498710632,740.9067468643188,"Da Mark gestern sehr spät aufgestanden ist, wird er heute nicht früh aufstehen.",aufstehen,740.2900458574295,None,745.3569737672806,746.3738069534302,755.4908648729324,None,756.9076080322266,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_012.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,13,0,13,0,,,,,,,,,Listen to the question and speak out your answer!,759.9747188091278,None,759.956701874733,761.9747278690338,"Früh übt sich, wer ein Meister werden will.",werden,761.3578168153763,764.1079769134521,764.4913288354874,None,776.5586827993393,None,777.975282907486,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_013.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,14,0,14,0,,,,,,,,,Listen to the question and speak out your answer!,781.0089888572693,None,780.9910608530045,783.008889913559,Mein Sohn wurde letztes Jahr geboren.,geboren,782.3921829462051,784.7424190044403,785.1256378889084,None,797.593064904213,798.6097769737244,799.0097608566284,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_014.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,15,0,15,0,,,,,,,,,Listen to the question and speak out your answer!,802.0438828468323,None,802.0088310241699,804.0433390140533,Im Weltraum kann man keinen Ton hören.,hören,803.4266089200974,805.8437058925629,806.2268909215927,None,818.6274439096451,None,820.0440838336945,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_015.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,16,0,16,0,,,,,,,,,Listen to the question and speak out your answer!,823.0446410179138,None,823.0267111063004,825.0445718765259,"Sie kann noch immer nicht schlafen, weil ihre Ohren wie Türglocken klingeln.",klingeln,824.4277068376541,None,829.1279429197311,None,839.6285227537155,None,841.0452778339386,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_016.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,17,0,17,0,,,,,,,,,Listen to the question and speak out your answer!,844.1122708320618,None,844.0777039527893,846.1121900081635,Ich möchte mir ein Buch aus der Bibliothek leihen.,leihen,845.4954837560654,None,848.762335896492,849.7790479660034,860.6962817907333,None,862.1130299568176,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_017.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
3,0,3,0,0,0,0,0,18,0,18,0,,,,,,,,,Listen to the question and speak out your answer!,865.1307628154755,None,865.112135887146,867.1299889087677,Die Ausbildung besteht aus mehreren Modulen.,besteht,866.5132478475571,869.2634079456329,869.646745800972,None,881.7140597105026,882.7307889461517,883.130872964859,None,./data/Subject_02/Session_01/Exp_data/2020_Jul_05_1205/rec_QA_run_03_block_000_trial_018.wav,02,01,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_05_1205,nibs_stage_1,3.2.3,59.99482199536268,
