run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
2,0,2,0,0,0,0,0,,,,,,,,,Please remain seated until further instruction via the earphone.,126.64463901519775,None,,128.67805004119873,None,128.66151723861694,130.66152000427246,130.04482731819152,None,133.4450174331665,134.44509196281433,134.84505639076232,144.84549403190613,145.2455934047699,146.24567794799805,146.645672082901,147.64575099945068,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,150.67971992492676,None,150.67931613922119,152.67925190925598,152.06263337135314,None,155.46280035972595,None,156.86265239715576,166.86316990852356,167.26319036483764,None,168.66326904296875,169.663330078125,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,172.69689106941223,172.69689106941223,172.68026313781738,174.6802589893341,174.0802393913269,None,177.48040542602538,178.4804630279541,178.88047132492065,188.881010055542,189.28093752861022,190.28107500076294,190.68108201026917,191.68115210533142,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,194.6985580921173,None,194.697980260849,196.69807291030884,196.08138046264648,None,199.48155341148376,None,200.8816264629364,210.8820719718933,211.28226552009582,212.28222703933716,212.68224811553955,213.68232202529907,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,216.71579694747925,216.71579694747925,216.6992441177368,218.69923996925354,218.09919533729553,None,221.49936447143554,222.49941492080688,222.89944443702697,232.89997601509094,233.29998335838317,234.30004906654358,234.70007395744324,235.70010805130005,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,238.71755003929138,None,238.71735129356384,240.71705198287964,240.10033044815063,None,243.50074348449706,None,244.9007345199585,254.90132999420166,255.30138645172119,256.30163288116455,256.7013449668884,257.7014729976654,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,260.73499608039856,260.73499608039856,260.7184222698212,262.718416929245,262.1183093547821,None,265.5186193943024,None,266.91863951683047,276.9191710948944,277.3192554473877,None,278.7192540168762,279.71932005882263,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,7,0,7,0,,,,,,,,,,,,,282.73629808425903,None,282.7362352371216,284.736289024353,284.1195415019989,287.1196119785309,287.5199004173279,None,288.9198163509369,298.92050409317017,299.32072243690493,None,300.72042202949524,301.720675945282,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,8,0,8,0,,,,,,,,,,,,,304.7539870738983,304.7539870738983,304.73730812072756,306.73737692832947,306.137353515625,309.13751196861267,309.5375524520874,None,310.9378155231476,320.9382219314575,321.338142490387,None,322.7383830547333,323.73827600479126,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,9,0,9,0,,,,,,,,,,,,,326.75546193122864,None,326.7552431583405,328.7552011013031,328.13867650032046,331.1386709213257,331.538684463501,None,332.93868336677554,342.93933606147766,343.3393414974213,None,344.7393410205841,345.7394618988037,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,10,0,10,0,,,,,,,,,,,,,348.77287101745605,348.77287101745605,348.7564021110535,350.7563579082489,350.156319475174,None,353.5565052986145,None,354.9564925193787,364.957093000412,365.35714135169985,None,366.7572269439697,367.7572739124298,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,11,0,11,0,,,,,,,,,,,,,370.77440094947815,None,370.77413830757143,372.77415895462036,372.1575284957886,None,375.55768237113955,None,376.95773229599,386.95826292037964,387.3583594322205,None,388.7583999633789,389.75841188430786,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,12,0,12,0,,,,,,,,,,,,,392.7918310165405,392.7918310165405,392.77537832260134,394.7751920223236,394.17530450820925,397.17530703544617,397.5753384590149,None,398.97540149688723,408.9759318828583,409.3759385108948,None,410.7759289741516,411.77605295181274,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,13,0,13,0,,,,,,,,,,,,,414.79338788986206,None,414.79315028190615,416.7931580543518,416.1763583183289,None,419.576633310318,None,420.976695394516,430.97721004486084,431.3772505283356,None,432.77730989456177,433.77735590934753,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,14,0,14,0,,,,,,,,,,,,,436.81071496009827,436.81071496009827,436.7944651603699,438.7939989566803,438.19404039382937,None,441.594232416153,442.594407081604,442.99429831504824,452.99479603767395,453.39482245445254,None,454.7950038909912,455.79487705230713,,,,,,,,,,,,,,,,,,,,,,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,"Please keep relaxed and close your eyes.
",643.1882948875427,823.1974530220032,826.5476160049438,None,Listen to the question and speak out your answer!,853.7492549419403,None,853.7331867694855,855.7327129840851,"Es ist Zeit, diesen Ort zu verlassen.",verlassen,855.1326373577118,None,857.916151380539,858.9161291122437,870.3334694862366,None,871.7335379123688,872.7336349487305,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_000.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,874.7835619449615,None,874.7671815872193,876.7671549320221,"Sam ist nicht da, soll ich ihm sagen, dass Sie nachher zurück rufen?",rufen,876.1671124458313,880.1839969158173,880.5840233325958,None,891.3679154872895,None,892.7679419517517,893.76802110672,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_001.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,895.8184499740601,None,895.8182361602784,897.8182349205017,Der Ton macht die Musik.,macht,897.2014745235443,898.8182890415192,899.2351253986359,None,912.4023383617401,None,913.8023920059204,914.802393913269,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_002.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,916.8696980476379,None,916.8526775360108,918.8524448871613,Die Bergarbeiter fuhren jeden Tag in die Grube.,fuhren,918.2525893211365,921.4192368984222,921.8194964885712,922.8196980953217,933.4534224033356,None,934.8536880016327,935.8535048961639,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_003.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
2,0,2,0,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,937.920401096344,None,937.9037199497224,939.9037458896637,"In der Therapie lernte er, mit Angst und Stress umzugehen.",umzugehen,939.2872313022614,None,943.1872724056244,None,954.4878355026245,None,955.887836933136,956.887974023819,./data/Subject_03/Session_00/Exp_data/2020_Jul_03_1407/rec_QA_run_02_block_000_trial_004.wav,,,,03,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_03_1407,nibs_stage_1,3.2.3,59.9966241828663,
