run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
3,0,3,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,78.62101793289185,None,288.01523995399475,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",288.01523995399475,None,287.9996530771256,None,"Please keep relaxed and close your eyes.
",311.03398990631104,491.04235100746155,494.4427309036255,None,508.99345898628235,549.0120370388031," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",508.99345898628235,549.0120370388031,508.9781603574753,None,548.378674030304,None,Listen to the question and speak out your answer!,552.2460198402405,None,552.2303456544877,554.2456529140472,"Sie beschrieb der Polizei den Dieb so genau, dass diese ihn festnehmen konnnte.",beschrieb,553.6124646425247,558.079185962677,558.4958715200424,None,568.8133685350418,None,570.2133529186249,571.213408946991,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1249/rec_QA_run_03_block_000_trial_000.wav,03,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_14_1249,nibs_stage_1,3.2.3,59.99447873382777,
3,0,3,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,573.2968640327454,None,573.2811865091325,575.2802999019623,Sie beantwortete meine E-Mail schnell.,beantwortete,574.6636097192765,None,577.4804715871811,None,589.8643865346909,590.8644299507141,591.264506816864,592.2645189762115,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1249/rec_QA_run_03_block_000_trial_001.wav,03,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_14_1249,nibs_stage_1,3.2.3,59.99447873382777,
3,0,3,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,594.348639011383,None,594.3323034524918,596.33131980896,Ich arbeite normalerweise von Montag bis Freitag.,arbeite,595.7147545576096,599.0648248195648,599.464939570427,None,610.915490603447,611.9155538082123,612.315603017807,613.3156080245972,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1249/rec_QA_run_03_block_000_trial_002.wav,03,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_14_1249,nibs_stage_1,3.2.3,59.99447873382777,
3,0,3,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,615.3822448253632,None,615.366714668274,617.3822438716888,Bist du schon mal auf einem Pony geritten? ,geritten,616.7655775308609,None,619.4491107225418,620.4490859508514,631.9665856122971,None,633.3665709495544,634.3666889667511,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1249/rec_QA_run_03_block_000_trial_003.wav,03,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_14_1249,nibs_stage_1,3.2.3,59.99447873382777,
3,0,3,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,636.4165749549866,None,636.4011227607728,638.4167759418488,Das Geheimnis darfst du niemand sagen.,sagen,637.799998497963,None,640.5334696531296,None,653.0010916948319,654.0012040138245,654.4010798931122,655.4016239643097,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1249/rec_QA_run_03_block_000_trial_004.wav,03,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_14_1249,nibs_stage_1,3.2.3,59.99447873382777,
3,0,3,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,657.451005935669,None,657.4360577583313,659.4511938095093,Was bedeutet diese Abkürzung?,bedeutet,658.8344197034836,660.8179409503937,661.2348725557327,None,674.0354757070542,None,675.4355118274689,676.4355959892273,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1249/rec_QA_run_03_block_000_trial_005.wav,03,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_14_1249,nibs_stage_1,3.2.3,59.99447873382777,
3,0,3,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,678.4864168167114,None,678.470029783249,680.4691359996796,Du solltest deiner Geliebten Blumen zum Geburtstag schenken.,schenken,679.8690607309342,683.31924700737,683.7359745264054,None,695.0698456525803,696.0699348449707,696.4699778556824,697.4699850082397,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1249/rec_QA_run_03_block_000_trial_006.wav,03,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_14_1249,nibs_stage_1,3.2.3,59.99447873382777,
3,0,3,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,699.5198829174042,None,699.5044188022614,701.5035409927368,Dort an der Ampel kannst du die Straße überqueren.,überqueren,700.903500533104,703.8869979381561,704.2869126558304,705.2870428562164,716.104316687584,None,717.504371881485,718.5045878887177,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1249/rec_QA_run_03_block_000_trial_007.wav,03,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_14_1249,nibs_stage_1,3.2.3,59.99447873382777,
3,0,3,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,720.5715818405151,None,720.5556973695756,722.5709779262543,Sie hat die Äpfel vom Baum geholt.,geholt,721.9543807268143,724.0882630348206,724.4880966901779,None,737.1552905797959,None,738.5554308891296,739.5556678771973,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1249/rec_QA_run_03_block_000_trial_008.wav,03,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_14_1249,nibs_stage_1,3.2.3,59.99447873382777,
3,0,3,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,741.6061389446259,None,741.5901016712189,743.605465888977,Ich nehme nicht gerne Zucker zum Tee.,nehme,742.9888026475907,745.2057888507843,745.6224837064743,None,758.1898045301438,None,759.5899498462677,760.5899429321289,./data/Subject_03/Session_02/Exp_data/2020_Jul_14_1249/rec_QA_run_03_block_000_trial_009.wav,03,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_14_1249,nibs_stage_1,3.2.3,59.99447873382777,
