run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
2,0,2,0,0,0,0,0,Please remain seated until further instruction via the earphone.,69.99670195579529,None,72.03016400337219,99.03222584724426,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",72.03016400337219,99.03222584724426,72.01347055435181,None,98.39820599555969,None,,101.49833393096924,None,101.48145260810853,103.48189902305603,102.8651153087616,None,106.26518049240113,107.2653558254242,107.66539945602418,117.66589879989624,118.06593647003174,None,119.46589493751526,120.46603202819824,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,123.49929594993591,None,123.49952640533448,125.49963188171387,124.88288941383362,None,128.28298654556275,None,129.68315138816834,139.68362998962402,140.0836223602295,None,141.4837818145752,142.4837589263916,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,145.51723384857178,145.51723384857178,145.5006624698639,147.50075602531433,146.90064635276795,None,150.30092134475709,None,151.70103635787964,161.70151090621948,162.10155549049378,None,163.5015139579773,164.50166082382202,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,167.51882600784302,None,167.51862659454346,169.51860690116882,168.90190448760987,None,172.30209031105042,None,173.7023145198822,183.70265197753906,184.10268154144288,None,185.50292682647705,186.50272297859192,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,189.53610587120056,189.53610587120056,189.51962842941285,191.51951384544373,190.91950645446778,None,194.31975736618043,195.31971383094788,195.71972932815552,205.720458984375,206.1203574180603,None,207.5203559398651,208.52047896385193,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,211.5378098487854,None,211.53725352287293,213.5375440120697,212.92085447311402,None,216.32104744911194,217.3210849761963,217.72109546661378,227.72163486480713,228.12180247306824,None,229.52172899246216,230.52186799049377,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,233.5551300048828,233.5551300048828,233.53860654830933,235.53844285011292,234.93849244117737,None,238.33867945671082,239.33867692947388,239.73868837356568,249.7394518852234,250.13948431015015,None,251.53974294662476,252.53959202766418,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
2,0,2,0,7,0,7,0,,,,,,,,,,,,,,255.55678582191467,None,255.55642762184144,257.55630898475647,256.93961253166196,259.9397728443146,260.3398064613342,261.3399360179901,261.73988738059995,271.7403938770294,272.1404224872589,273.14038586616516,273.5405158996582,274.54054498672485,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
2,0,2,0,8,0,8,0,,,,,,,,,,,,,,277.5740828514099,277.5740828514099,277.55753054618833,279.55738496780396,278.95742931365965,281.9575870037079,282.3576003551483,283.35766100883484,283.7576793670654,293.7582108974457,294.1582173347473,None,295.5582959651947,296.5583658218384,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
2,0,2,0,9,0,9,0,,,,,,,,,,,,,,299.5757598876953,None,299.5751625537872,301.5751988887787,300.95857133865354,303.9587209224701,304.3587504863739,None,305.7588235378265,315.75934290885925,316.1593555450439,317.1594159603119,317.5594379901886,318.55957794189453,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
2,0,2,0,10,0,10,0,,,,,,,,,,,,,,321.5930769443512,321.5930769443512,321.57629742622373,323.57635593414307,322.9764064788818,None,326.3766445159912,327.3767249584198,327.77663531303403,337.7771668434143,338.1772133350372,339.177227973938,339.5773890018463,340.5773148536682,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
2,0,2,0,11,0,11,0,,,,,,,,,,,,,,343.59470987319946,None,343.59413542747495,345.59423184394836,344.9775394439697,None,348.37772741317747,None,349.77780332565305,359.77878403663635,360.1787384986877,None,361.57863783836365,362.5787069797516,03,03,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_20_1215,nibs_stage_1,3.2.3,59.97860717860718,
