artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",27.44897985458374,None,42.433125019073486,None,43.466628074645996,None,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",43.466628074645996,None,43.450519347190856,None,69.83465886116028,None,,71.86785197257996,None,71.85276892185212,73.86800003051758,73.25123360157014,None,76.65141656398774,None,78.05151154994965,88.05201005935669,88.45204546451569,None,89.85217499732971,90.85213994979858,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,93.8695559501648,None,93.87030699253083,95.88598394393921,95.25262763500214,None,98.65280368328095,None,100.05283358097077,110.05336785316467,110.45340445041657,None,111.8533718585968,112.85351204872131,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,115.88678693771362,115.88678693771362,115.87167193889618,117.8869469165802,117.27019860744477,None,120.6705456018448,121.67040801048279,122.07052161693574,132.07101798057556,132.47106149196625,None,133.87104105949402,134.87108397483826,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,137.88846707344055,None,137.88932707309723,139.90490293502808,139.27148368358613,None,142.67172267436982,143.67180585861206,144.07181265354157,154.07234287261963,154.47226645946503,None,155.87239599227905,156.8723909854889,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,159.90580487251282,159.90580487251282,159.8906769990921,161.90591096878052,161.28914048671723,None,164.68930962085724,None,166.08930757045746,176.08989596366882,176.48992350101472,None,177.89008498191833,178.89007091522217,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,181.90755891799927,None,181.9081969499588,183.92362093925476,183.2905154466629,None,186.6904475927353,187.69040393829346,188.09044268131257,198.0910370349884,198.49106147289277,None,199.89112401008606,200.89108395576477,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,203.92498397827148,203.92498397827148,203.9093320608139,205.92476606369019,205.3081906080246,None,208.708300614357,None,210.10833551883698,220.10882186889648,220.5088696718216,None,221.9089319705963,222.90899205207825,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,225.94251799583435,None,225.92713191509247,227.94255185127258,227.30916359424592,230.30926203727722,230.70946862697602,None,232.10948660373688,242.10996389389038,242.51001145839692,243.5100450515747,243.9100649356842,244.91014790534973,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,247.96034502983093,None,247.9450440645218,249.9605450630188,249.3270306825638,252.32716393470764,252.72711160182953,253.7272288799286,254.12727358341218,264.1277959346771,264.52779057025907,265.5278060436249,265.92788004875183,266.92794704437256,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,269.978147983551,None,269.96274092197416,271.96179699897766,271.3451066255569,274.34560894966125,274.7452304601669,275.74524998664856,276.14531257152555,286.14570808410645,286.5457356214523,None,287.94625091552734,288.9458968639374,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_11_1057,nibs_stage_1,3.2.3,59.993448972790354,
