run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
2,0,2,0,0,0,0,0,,,,,,,,,Please remain seated until further instruction via the earphone.,58.379610776901245,None,60.41316890716553,None,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",60.41316890716553,None,60.394610953331,None,86.78112196922302,None,,88.96455788612366,None,88.94583494663239,90.94786787033081,90.33126480579377,None,93.73142988681793,None,95.13142879009247,105.1319649219513,105.5319708108902,None,106.93212985992432,107.93216586112976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_11_1212,nibs_stage_1,3.2.3,60.001688051030634,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,110.96602988243103,None,110.96380503177643,112.96567988395691,112.34904773235321,None,115.74922473430634,None,117.1493008852005,127.14984393119812,127.54974777698517,None,128.94995498657227,129.95015478134155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_11_1212,nibs_stage_1,3.2.3,60.001688051030634,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,132.98331999778748,132.98331999778748,132.96495611667632,134.96660089492798,134.36673386096953,None,137.7668157339096,None,139.16704185009002,149.16742181777954,149.56739671230315,None,150.96749091148376,151.96748185157776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_11_1212,nibs_stage_1,3.2.3,60.001688051030634,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,155.00125098228455,None,154.9826200723648,156.98445296287537,156.36777670383452,None,159.76794989109038,None,161.1679478406906,171.16846680641174,171.5685747385025,None,172.96863794326782,173.96869778633118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_11_1212,nibs_stage_1,3.2.3,60.001688051030634,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,177.01925778388977,None,177.000341963768,179.00228691101074,178.385586810112,None,181.7857697725296,None,183.18582971096038,193.18626594543457,193.5863626718521,None,194.9867458343506,195.98649787902832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_11_1212,nibs_stage_1,3.2.3,60.001688051030634,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,199.03673696517944,None,199.01821405887603,201.02000999450684,200.40338571071624,None,203.80369884967803,None,205.20363671779631,215.20408987998962,215.60408480167388,None,217.00431299209595,218.00436186790466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_11_1212,nibs_stage_1,3.2.3,60.001688051030634,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,221.05454993247986,None,221.0360151052475,223.0378179550171,222.4211867570877,None,225.82137687206267,None,227.22145874500274,237.22195482254028,237.62193567752837,None,239.0220649242401,240.02212476730347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_11_1212,nibs_stage_1,3.2.3,60.001688051030634,
2,0,2,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,243.0724937915802,None,243.0538211584091,245.0559787750244,244.43933279514312,247.43934679031372,247.83930571079253,None,249.239510846138,259.2399878501892,259.6400168657303,260.6400649547577,261.04010796546936,262.0401508808136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_11_1212,nibs_stage_1,3.2.3,60.001688051030634,
2,0,2,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,265.09027576446533,None,265.07202608585357,267.07373881340027,266.4570158243179,269.45714688301086,269.8571558713913,None,271.25726373195647,281.25797486305237,281.6578157663345,None,283.05791783332825,284.05799984931946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_11_1212,nibs_stage_1,3.2.3,60.001688051030634,
2,0,2,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,287.10815691947937,None,287.0899291753769,289.0915288925171,288.47483665943145,291.4749698638916,291.87501366138457,None,293.2750848054886,303.2756259441376,303.67563087940215,None,305.075630903244,306.07572984695435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,01,Norwegian,B1,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Jul_11_1212,nibs_stage_1,3.2.3,60.001688051030634,
