artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",24.293360948562622,None,39.27774715423584,None,40.31098508834839,None,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",40.31098508834839,None,40.29479970932007,None,66.67902708053589,None,,68.71237015724182,None,68.69645919799805,70.6958999633789,70.09588708877564,None,73.49621691703797,None,74.89612307548524,84.89682602882385,85.2966760635376,None,86.6967499256134,87.69687294960022,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
1,0,1,0,,,,,,,,,,,,,,,,,,,,90.71395492553711,None,90.714355134964,92.71366000175476,92.09706797599793,None,95.49728193283082,None,96.89734091758729,106.8978259563446,107.29788007736207,None,108.6979079246521,109.69790315628052,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
2,0,2,0,,,,,,,,,,,,,,,,,,,,112.73143815994263,112.73143815994263,112.71552004814149,114.71466612815857,114.11470713615418,None,117.51489701271058,None,118.91488995552064,128.91544914245605,129.31546297073365,None,130.71552205085754,131.71562910079956,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
3,0,3,0,,,,,,,,,,,,,,,,,,,,134.75012707710266,None,134.74973421096803,136.7494339942932,136.1326009273529,None,139.51645102500916,None,140.93294396400452,150.93360805511475,151.31684198379517,None,152.71691298484802,153.7169680595398,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
4,0,4,0,,,,,,,,,,,,,,,,,,,,156.76689100265503,156.76689100265503,156.7679641723633,158.78359198570251,158.15031113624573,None,161.55050101280213,None,162.95046606063843,172.95108199119568,173.35103812217713,None,174.75131392478943,175.75127601623535,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
5,0,5,0,,,,,,,,,,,,,,,,,,,,178.78495407104492,178.78495407104492,178.76864709854127,180.76837992668152,180.16827096939087,None,183.56855096817017,None,184.96855607032776,194.96912908554077,195.36915197372437,None,196.76922702789307,197.76929593086243,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
6,0,6,0,,,,,,,,,,,,,,,,,,,,200.8027310371399,None,200.78678407669068,202.78623700141907,202.16946210861207,None,205.56972303390503,None,206.9698230266571,216.9703390598297,217.37038006782532,None,218.7703399658203,219.7704620361328,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
7,0,7,0,,,,,,,,,,,,,,,,,,,,222.83737802505493,None,222.8212872028351,224.82087993621826,224.20439400672913,227.20419096946716,227.60443892478943,None,229.00429000854493,239.00481295585632,239.4048429965973,None,240.80482697486877,241.80496406555176,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
8,0,8,0,,,,,,,,,,,,,,,,,,,,244.85491514205933,None,244.83911719322205,246.8383400440216,246.22156801223755,249.22187614440918,249.62185707092286,None,251.0218249797821,261.0224189758301,261.4224609375,262.42264103889465,262.82246494293213,263.8225769996643,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
9,0,9,0,,,,,,,,,,,,,,,,,,,,266.87282395362854,None,266.85710921287534,268.856173992157,268.2394899368286,271.2396430969238,271.63958897590635,None,273.03973999023435,283.0401909351349,283.44024004936216,284.4403591156006,284.8403639793396,285.84041595458984,,,,,,,,,,,,,,,,,,,,,,,,,05,00,English,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_06_1055,nibs_stage_1,3.2.3,60.02504440014369,
