run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
,,,,,,,,,,,,0,0,0,0,,188.57207989692688,None,188.54202885627745,190.55544209480286,Können Sie fünfzig Euro wechseln?,189.9387800693512,207.539400100708,191.33885214328765,None,204.13921616077423,None,205.53947591781616,207.539400100708,./data/Subject_05/Session_02/Exp_data/2020_Aug_17_1320/rec_cali_de_post_trial_000.wav,05,02,Norwegian,B1,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Aug_17_1320,nibs_stage_1,3.2.3,59.96497292907805,
