artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",21.29757785797119,None,36.281692028045654,None,37.31505084037781,None,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",37.31505084037781,None,37.297298955917356,None,63.682843923568726,None,,65.71642279624939,None,65.71405777931213,67.71642184257507,67.09978919029236,None,70.49998216629028,71.49998092651367,71.89997010231018,81.90059089660645,82.30059223175049,83.3006329536438,83.70069479942322,84.7007508277893,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
1,0,1,0,,,,,,,,,,,,,,,,,,,,87.71806287765503,None,87.71536235809326,89.71783590316772,89.10108618736267,None,92.50132327079773,93.50154995918274,93.90133409500122,103.9019079208374,104.30186014175415,105.30195593833923,105.70201802253723,106.70196080207825,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
2,0,2,0,,,,,,,,,,,,,,,,,,,,109.73529601097107,109.73529601097107,109.71665148735046,111.71872997283936,111.11860613822937,None,114.51885514259338,None,115.91885714530945,125.91947889328003,126.3194821357727,127.319739818573,127.71948194503784,128.7196228504181,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
3,0,3,0,,,,,,,,,,,,,,,,,,,,131.73719000816345,None,131.73424940109254,133.73652982711792,133.1197503089905,None,136.51991515159608,None,137.92007331848146,147.92058682441711,148.32073812484742,None,149.72069692611694,150.72074484825134,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
4,0,4,0,,,,,,,,,,,,,,,,,,,,153.75432181358337,153.75432181358337,153.7354934692383,155.73780798912048,155.1376262187958,None,158.53781418800355,None,159.93789224624635,169.9384229183197,170.33844022750856,None,171.73849081993103,172.73858284950256,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
5,0,5,0,,,,,,,,,,,,,,,,,,,,175.75605988502502,None,175.75319437980653,177.75549793243408,177.13881521224977,None,180.53895430564882,None,181.9390233039856,191.93958497047424,192.33957319259645,None,193.73968386650085,194.73972487449646,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
6,0,6,0,,,,,,,,,,,,,,,,,,,,197.77319383621216,197.77319383621216,197.7543344974518,199.75664591789246,199.1565173149109,None,202.55688529014589,None,203.95684509277345,213.95758891105652,214.35764722824098,215.35769081115723,215.7577350139618,216.75774383544922,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
7,0,7,0,,,,,,,,,,,,,,,,,,,,219.79120087623596,None,219.77249054908754,221.77469182014465,221.15819816589357,224.15832090377808,224.55815510749818,None,225.9582021713257,235.95894384384155,236.35876111984254,None,237.75884795188904,238.75888991355896,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
8,0,8,0,,,,,,,,,,,,,,,,,,,,241.79278802871704,None,241.7901773929596,243.792484998703,243.17577414512635,246.17594385147095,246.575936126709,None,247.97602014541627,257.9765648841858,258.3768702030182,None,259.7766568660736,260.7768568992615,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
9,0,9,0,,,,,,,,,,,,,,,,,,,,263.81013798713684,263.81013798713684,263.7913024902344,265.79365396499634,265.1934872150421,268.19378900527954,268.5937812805176,None,269.993852186203,279.99437284469604,280.3943832397461,None,281.7944610118866,282.7944920063019,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
10,0,10,0,,,,,,,,,,,,,,,,,,,,285.81178283691406,None,285.8091164112091,287.81144285202026,287.194935131073,None,290.59490327835084,291.594997882843,291.99499015808107,301.99549198150635,302.3954411029816,None,303.79562401771545,304.79568696022034,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
11,0,11,0,,,,,,,,,,,,,,,,,,,,307.82914185523987,307.82914185523987,307.81023745536805,309.8125309944153,309.2125421047211,None,312.61276416778566,None,314.0130861282349,324.013356924057,324.41378622055055,None,325.8134789466858,326.8138699531555,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
12,0,12,0,,,,,,,,,,,,,,,,,,,,329.83056902885437,None,329.8281434059143,331.83042097091675,331.2137332439423,334.21388697624207,334.6138771057129,None,336.01385312080384,346.0145308971405,346.41467623710633,None,347.81457901000977,348.81462502479553,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
13,0,13,0,,,,,,,,,,,,,,,,,,,,351.84796690940857,351.84796690940857,351.8291523933411,353.83130979537964,353.2313552379608,None,356.63152413368226,None,358.03162531852723,368.03212881088257,368.43214015960694,None,369.83220982551575,370.8322899341583,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
14,0,14,0,,,,,,,,,,,,,,,,,,,,373.8496298789978,None,373.84699754714967,375.84937381744385,375.2326651096344,None,378.63294916152955,379.6328740119934,380.0329022884369,390.03347992897034,390.4333782672882,None,391.83376598358154,392.8333339691162,,,,,,,,,,,,,,,,,,,,,,,,,05,03,Norwegian,B1,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_19_1027,nibs_stage_1,3.2.3,59.99267667521054,
