artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",21.737842798233032,None,36.70537877082825,None,40.155274868011475,67.1736249923706,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",40.155274868011475,67.1736249923706,40.15559754371643,None,66.54022789001465,None,,70.30705189704895,None,70.29070267677307,72.29045987129211,71.6737977027893,None,75.07395849227905,None,76.47402653694152,86.4745569229126,86.87454566955566,None,88.27466678619385,89.27468800544739,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
1,0,1,0,,,,,,,,,,,,,,,,,,,,92.32475686073303,None,92.30855855941772,94.30832695960999,93.69156966209411,None,97.09177861213684,None,98.49185047149658,108.49230885505676,108.8923285961151,None,110.29238486289978,111.29244589805603,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
2,0,2,0,,,,,,,,,,,,,,,,,,,,114.3425509929657,None,114.32594666481017,116.32604598999023,115.70931968688964,None,119.1095236301422,None,120.50981554985046,130.51013278961182,130.91010961532592,None,132.3101909160614,133.31023693084717,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
3,0,3,0,,,,,,,,,,,,,,,,,,,,136.36037683486938,None,136.34368453025817,138.34374284744263,137.72715458869934,None,141.127334690094,None,142.5273886680603,152.52784299850464,152.92758259773254,None,154.32773184776306,155.32789397239685,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
4,0,4,0,,,,,,,,,,,,,,,,,,,,158.37836384773254,None,158.36120257377624,160.36161589622498,159.74490151405334,None,163.14525566101074,None,164.54588470458984,174.54567885398865,174.94569358825683,None,176.34575581550598,177.34575200080872,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
5,0,5,0,,,,,,,,,,,,,,,,,,,,180.39589500427246,None,180.37934956550598,182.37944984436035,181.76270565986633,None,185.16288647651672,None,186.562997674942,196.56350588798523,196.96346459388732,None,198.3634548187256,199.36397790908813,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
6,0,6,0,,,,,,,,,,,,,,,,,,,,202.41361379623413,None,202.39740452766418,204.3972098827362,203.78057370185851,None,207.18143663406372,None,208.58076057434081,218.58197498321533,218.98126349449157,None,220.38135981559753,221.38140988349915,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
7,0,7,0,,,,,,,,,,,,,,,,,,,,224.4313178062439,None,224.415274477005,226.41499781608582,225.79847869873046,228.79847693443298,229.19849452972412,None,230.5984827041626,240.5988929271698,240.99894461631774,241.99899196624756,242.39910578727722,243.39889883995056,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
8,0,8,0,,,,,,,,,,,,,,,,,,,,246.44942688941956,None,246.43251762390136,248.43278789520264,247.81577167510986,250.81597185134888,251.21615061759948,None,252.61618766784667,262.6167469024658,263.0167575836182,264.01679277420044,264.4167449474335,265.4168019294739,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
9,0,9,0,,,,,,,,,,,,,,,,,,,,268.46694588661194,None,268.45057067871096,270.4504668712616,269.83389458656313,272.833860874176,273.2339135169983,None,274.63389549255373,284.63451385498047,285.0345614910126,286.0345079898834,286.43458795547485,287.43468499183655,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Jul_15_1022,nibs_stage_1,3.2.3,60.02366999391793,
