run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
3,0,3,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,106.02788400650024,None,315.4719729423523,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",315.4719729423523,None,315.4705997943878,None,"Please keep relaxed and close your eyes.
",338.4897849559784,518.4994699954987,521.8827369213104,None,537.4672079086304,577.4689469337463," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",537.4672079086304,577.4689469337463,537.4480263710022,None,576.8355679512024,None,Listen to the question and speak out your answer!,580.7025640010834,None,580.7003515720368,582.7024450302124,Die Ergebnisse werden auf einer Skala von eins bis zehn angezeigt.,angezeigt,582.0858420848847,586.2861709594727,586.6860632419587,None,597.2866391658783,None,598.6867370605469,599.6867730617523,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1231/rec_QA_run_03_block_000_trial_000.wav,06,01,Dutch,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_15_1231,nibs_stage_1,3.2.3,60.004177384327946,
3,0,3,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,601.7702081203461,None,601.7522319316864,603.7536571025848,"Um Omeltte zu machen, werde ich die Eier verrühren und dann braten.",braten,603.1535260200501,607.0205008983612,607.4371752262116,None,618.3543970108033,None,619.7544000148773,620.7545230388641,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1231/rec_QA_run_03_block_000_trial_001.wav,06,01,Dutch,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_15_1231,nibs_stage_1,3.2.3,60.004177384327946,
3,0,3,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,622.8218870162964,None,622.8032248973847,624.8046820163727,"Ich habe das Formular ausgefüllt, um mich für den Kurs anzumelden.",ausgefüllt,624.1879531860352,None,628.6882712364197,None,639.3889212131501,None,640.7889270782471,641.7889759540558,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1231/rec_QA_run_03_block_000_trial_002.wav,06,01,Dutch,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_15_1231,nibs_stage_1,3.2.3,60.004177384327946,
3,0,3,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,643.8557820320129,None,643.837769651413,645.8391959667206,Die Katzen jagen Mäuse.,jagen,645.239088010788,None,647.422561120987,None,660.4401752471924,None,661.856938123703,None,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1231/rec_QA_run_03_block_000_trial_003.wav,06,01,Dutch,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_15_1231,nibs_stage_1,3.2.3,60.004177384327946,
3,0,3,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,664.9240140914917,None,664.9055438995362,666.9073350429535,Wir haben den Empfang der Sendung bestätigt.,bestätigt,666.2904710292817,668.7906060218811,669.2072941780091,None,681.491160106659,682.4913289546967,682.8913140296936,683.891371011734,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1231/rec_QA_run_03_block_000_trial_004.wav,06,01,Dutch,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_15_1231,nibs_stage_1,3.2.3,60.004177384327946,
3,0,3,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,685.9915280342102,None,685.9734028339386,687.9749400615692,Der Test dauert nur fünfzehn Minuten.,dauert,687.3581912040711,None,690.1749982357026,691.1749861240387,702.5589842319489,703.5590369701385,703.959067106247,704.9591269493103,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1231/rec_QA_run_03_block_000_trial_005.wav,06,01,Dutch,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_15_1231,nibs_stage_1,3.2.3,60.004177384327946,
3,0,3,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,707.0259230136871,None,707.0078288078308,709.0093650817871,Lisa kann schon mit großen Zahlen rechnen.,rechnen,708.3928691864014,None,711.4426941394806,None,723.5934161663056,None,724.9935019016266,725.9935519695282,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1231/rec_QA_run_03_block_000_trial_006.wav,06,01,Dutch,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_15_1231,nibs_stage_1,3.2.3,60.004177384327946,
3,0,3,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,728.0771460533142,None,728.0591648578644,730.0605280399323,"Ich darf Sie bitten, meinem Antrag zu entsprechen.",bitten,729.460273218155,None,732.6605391025544,None,744.6610400199891,None,746.0445981025696,747.0446469783783,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1231/rec_QA_run_03_block_000_trial_007.wav,06,01,Dutch,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_15_1231,nibs_stage_1,3.2.3,60.004177384327946,
3,0,3,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,749.1281390190125,None,749.1102097988129,751.111438035965,Warum antwortest du nicht auf meine Frage?,antwortest,750.4948191165925,None,753.6283821582795,None,765.6955830574036,766.6957259178162,767.095724105835,768.0956881046295,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1231/rec_QA_run_03_block_000_trial_008.wav,06,01,Dutch,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_15_1231,nibs_stage_1,3.2.3,60.004177384327946,
3,0,3,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,770.1793010234833,None,770.1611879825592,772.1626110076904,"Da Mark gestern sehr spät aufgestanden ist, wird er heute nicht früh aufstehen.",aufstehen,771.5460910320282,None,776.6128341674805,None,786.746599149704,None,788.1468160152435,789.1468229293823,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1231/rec_QA_run_03_block_000_trial_009.wav,06,01,Dutch,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,3,No,No,No,No,2020_Jul_15_1231,nibs_stage_1,3.2.3,60.004177384327946,
