run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,Cali_de_post_rec_text.text,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.text,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,filename,the_end_text.started,the_end_text.stopped,the_end_text.text,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
,,,,,,,,,,,,0,0,0,0,,65.29872703552246,None,65.28036892414093,67.28206706047058,"Ich habe Hunger, was kochst du heute?",66.66534805297852,84.26606798171997,68.06539595127106,None,80.86586511135101,None,82.26594495773315,84.26606798171997,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1258/rec_cali_de_post_trial_000.wav,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
,,,,,,,,,,,,1,0,1,0,,87.31630992889404,None,87.29864943027496,89.29965686798096,Können Sie fünfzig Euro wechseln?,88.69963097572327,106.30054593086243,90.0997029542923,None,102.90035402774811,None,104.3004379272461,106.30054593086243,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1258/rec_cali_de_post_trial_001.wav,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
,,,,,,,,,,,,2,0,2,0,,109.33421802520752,None,109.31637632846832,111.31737804412842,Er verkauft Herren- und Damenschuhe.,110.7175760269165,128.3184859752655,112.11742794513702,113.1175639629364,124.91819202899933,None,126.30169987678528,128.3017098903656,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1258/rec_cali_de_post_trial_002.wav,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
,,,,,,,,,,,,3,0,3,0,,131.35242795944214,None,131.33430635929108,133.33531284332275,Im Mittelalter öffnete das erste Kaufhaus in Europa.,132.73527789115906,150.33616399765015,134.13535296916962,None,146.91936194896698,None,148.31943202018738,150.31955695152283,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1258/rec_cali_de_post_trial_003.wav,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
,,,,,,,,,,,,4,0,4,0,,153.36964392662048,None,153.35220444202423,155.35311698913574,Das Jahr hat 52 Wochen.,154.75307703018188,172.37122297286987,156.15316998958588,157.15314984321594,168.9540399312973,169.954087972641,170.3541738986969,172.37122297286987,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1258/rec_cali_de_post_trial_004.wav,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
,,,,,,,,,,,,5,0,5,0,,175.38806796073914,None,175.37041127681732,177.371258020401,"Doris ist leider zu spät gekommen, die Apotheke hat heute schon geschlossen.",176.7711489200592,194.37209606170654,178.1711210012436,179.1712589263916,190.97193205356598,191.98874187469482,192.37195897102356,194.37209606170654,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1258/rec_cali_de_post_trial_005.wav,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
,,,,,,,,,,,,6,0,6,0,,197.406564950943,None,197.3880203962326,199.38900995254517,Früher haben in Europa und Asien Neandertaler gelebt.,198.77228999137878,216.38968706130981,200.17238295078278,201.1724498271942,212.9728010892868,None,214.38957285881042,216.42323088645935,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1258/rec_cali_de_post_trial_006.wav,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
,,,,,,,,,,,,7,0,7,0,,219.4242708683014,None,219.4056032896042,221.42327499389648,"In der Schule lernen die Kinder lesen, schreiben und rechnen.",220.8232319355011,238.45749282836914,222.2066410779953,223.22336888313293,235.0073629617691,236.02401185035706,236.4240529537201,238.45749282836914,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1258/rec_cali_de_post_trial_007.wav,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
,,,,,,,,,,,,8,0,8,0,,241.47495698928833,None,241.44017946720123,243.474426984787,Im Sommer sind die Tage länger als im Winter.,242.8743908405304,260.5085759162903,244.25779497623444,None,257.05847108364105,None,258.47520089149475,260.5085759162903,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1258/rec_cali_de_post_trial_008.wav,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
,,,,,,,,,,,,9,0,9,0,,263.4762239456177,None,263.4579383134842,265.475576877594,"Ich glaube, es geht um ein rotes Auto.",264.8755729198456,282.50981402397156,266.2589701414108,None,279.0596181154251,None,280.47635984420776,282.50981402397156,./data/Subject_06/Session_01/Exp_data/2020_Jul_15_1258/rec_cali_de_post_trial_009.wav,,,,06,01,Ducth,A2,True,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,No,2020_Jul_15_1258,nibs_stage_1,3.2.3,59.92402173338458,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.5121169090271,None," This experiment is finished. 
Thanks for your participation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
