artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,instruction_text.text,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.text,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.text,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.text,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,"     Thank you for participating in the experiment: 

     Personalized non-invasive brain stimulation    
            for second language learning            
",16.894881010055542,None,31.8955500125885,None,32.92892098426819,None,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",32.92892098426819,None,32.91361479759216,None,59.330342054367065,None,,61.36491417884827,None,61.34978203773498,63.363813161849976,62.747053670883176,None,66.14737873077392,None,67.54731564521789,77.54788303375244,77.9479127407074,None,79.34796810150146,80.34794020652771,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,83.38169002532959,83.38169002532959,83.36751704216003,85.38170218467712,84.76485757827759,None,88.16505961418152,89.16515111923218,89.56528167724609,99.56567120552063,99.9657247543335,None,101.36578011512756,102.36580419540405,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,105.39943814277649,None,105.3853521823883,107.3994071483612,106.76606373786926,None,110.16622476577759,111.16628313064575,111.56631569862365,121.56681418418884,121.96687965393066,None,123.3669981956482,124.3670539855957,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,127.41750502586365,None,127.40303902626037,129.417218208313,128.78388266563417,None,132.18406372070314,133.1839940547943,133.58430366516114,143.58454608917236,143.9845636367798,None,145.3847119808197,146.38466906547546,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,149.43571710586548,None,149.4209170818329,151.43501615524292,150.80169062614442,None,154.20193176269532,155.20196413993835,155.60193758010865,165.6025640964508,166.00268869400026,None,167.402752161026,168.40298008918762,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,171.45281100273132,None,171.4389241218567,173.45313501358032,172.81968860626222,None,176.22014765739442,None,177.62000875473024,187.62047410011292,188.0204556465149,None,189.4205400943756,190.42062211036682,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,193.4706151485443,None,193.45673112869264,195.47086715698242,194.83743863105775,None,198.23784379959108,None,199.63792567253114,209.63824009895325,210.03828959465028,None,211.43854403495789,212.43838000297546,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,215.4883530139923,None,215.47456698417665,217.4889051914215,216.85565762519838,219.85545015335083,220.25582866668702,221.25586104393005,221.65577058792115,231.6560571193695,232.05626158714296,None,233.45629715919495,234.45624113082886,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,237.50614404678345,None,237.4926910877228,239.50646305084229,238.87310962677003,241.889808177948,242.2899196624756,None,243.67339758872987,253.6739101409912,254.0739486694336,None,255.49044704437256,256.4906861782074,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,259.52405309677124,None,259.5101650238037,261.5242130756378,260.8907635688782,263.89110112190247,264.2913146495819,None,265.69127469062806,275.69169998168945,276.0917227745056,None,277.4918360710144,278.4918191432953,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,281.5417311191559,None,281.5280299663544,283.542072057724,282.9089396476746,None,286.30891160964967,None,287.7089915752411,297.70970606803894,298.1095147609711,None,299.52602910995483,300.5594871044159,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,303.56046414375305,None,303.545836019516,305.5930371284485,304.9430037021637,None,308.3431847572327,None,309.74317173957826,319.7604911327362,320.14378361701966,321.1605679988861,321.56050515174866,322.59389209747314,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,325.59429121017456,None,325.58013515472413,327.6274950504303,326.9775667667389,329.9942901134491,330.37789659500123,None,331.7776496887207,341.79489517211914,342.17827372550965,None,343.5950870513916,344.628298997879,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,347.62882804870605,None,347.6146359920502,349.6621980667114,349.01221160888673,None,352.41239361763,353.42883110046387,353.81219964027406,363.8293640613556,364.2127585887909,365.2295482158661,365.6295790672302,366.6628611087799,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,369.66294503211975,None,369.6491129875183,371.6965491771698,371.0465796470642,None,374.44674758911134,None,375.8467767715454,385.86393904685974,386.2475257396698,None,387.66403007507324,388.6973421573639,,,,,,,,,,,,,,,,,,,,,,,,,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.7142651081085,None,"  - Task: Read out the displayed German sentence   
  - Melodious beep sound: Trial start              
  - Beep sound with increasing pitch: Rec. start   
  - Beep sound with decreasing pitch: Rec. finish  
",392.7142651081085,None,392.6849873542786,None,422.1324210166931,None,,424.1831350326538,None,424.16855058670046,426.2159860134125,"Sie hat eine harte Schale, aber einen weichen Kern.",425.58270621299744,443.2168941497803,426.96612458229066,None,439.7667136669159,None,441.1834981441498,443.2168941497803,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1651/rec_cali_de_pre_trial_000.wav,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.21762204170227,None,446.2031000137329,448.25045919418335,"Ein Bauer hält auf seinem Tiere wie Kühe, Hühner oder Schweine.",447.61708211898804,465.25144600868225,449.0006497383118,450.0171911716461,461.80119972229005,None,463.2179081439972,465.25144600868225,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1651/rec_cali_de_pre_trial_001.wav,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.2520830631256,None,468.2376301765442,470.2849349975586,In Österreich darf ein Präsident 6 Jahre regieren.,469.65170907974243,487.26933908462524,471.0351887226105,None,483.85256867408754,None,485.26906514167786,487.30275106430054,./data/Subject_09/Session_01/Exp_data/2020_Aug_06_1651/rec_cali_de_pre_trial_002.wav,,,09,01,English,A2,True,True,True,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Aug_06_1651,nibs_stage_1,3.2.3,60.06544568223186,
