run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,artifact_trial.thisRepN,artifact_trial.thisTrialN,artifact_trial.thisN,artifact_trial.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,Artifact_intro_title.started,Artifact_intro_title.stopped,Artifact_intro_text.text,Artifact_intro_text.started,Artifact_intro_text.stopped,Artifact_intro_audio.started,Artifact_intro_audio.stopped,Artifact_intro_cont.started,Artifact_intro_cont.stopped,Artifact_rec_text.text,Artifact_rec_text.started,Artifact_rec_text.stopped,Artifact_rec_beep_hint.started,Artifact_rec_beep_hint.stopped,Artifact_rec_action.started,Artifact_rec_action.stopped,Artifact_rec_beep_start.started,Artifact_rec_beep_start.stopped,Artifact_rec_recording.started,Artifact_rec_recording.stopped,Artifact_rec_beep_end.started,Artifact_rec_beep_end.stopped,Artifact_rec_break.started,Artifact_rec_break.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
2,0,2,0,0,0,0,0,,,,,,,,,Please remain seated until further instruction via the earphone.,53.728238105773926,None,55.76167893409729,82.77964496612549,"  - Task: Artifacts collection   
  - Please follow audio instruction              
",55.76167893409729,82.77964496612549,55.74601063728333,None,82.14617490768433,None,,85.7465009689331,None,85.7306824684143,87.73007392883301,87.11337885856628,None,90.51346883773803,None,91.91358981132507,101.91411995887756,102.31413373947143,None,103.71419596672058,104.71428990364075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,107.76438808441162,None,107.74870452880859,109.7478461265564,109.13118991851806,None,112.53133878707885,None,113.93161187171935,123.9322600364685,124.33196578025817,None,125.73194909095764,126.73204803466797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,129.78223299980164,None,129.76655659675598,131.76568698883057,131.1490689277649,None,134.5491798877716,None,135.94926080703735,145.9497630596161,146.34984574317932,None,147.75007796287537,148.74996495246887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,151.80068612098694,None,151.78440055847167,153.78350591659546,153.16682181358337,None,156.5669358730316,None,157.96706781387329,167.9675920009613,168.3676227092743,None,169.7677140235901,170.76774501800537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,173.8185999393463,None,173.80218563079833,175.80124807357788,175.1846107006073,None,178.58479890823364,None,179.98489174842834,189.9854130744934,190.38540277481079,None,191.78552412986755,192.78534293174744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,195.83560299873352,None,195.819833612442,197.81894397735596,197.20257577896118,None,200.60231289863586,None,202.00246391296386,212.00301098823547,212.40303978919982,None,213.80310010910034,214.8030710220337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,217.85348200798035,None,217.83764657974243,219.8367578983307,219.2199848651886,None,222.62033972740173,None,224.02030572891235,234.02115511894226,234.4208749294281,None,235.8208589553833,236.82099103927612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,239.8712649345398,None,239.85561261177062,241.85468697547913,241.23789081573486,244.23807001113892,244.63808569908142,None,246.0381637573242,256.0386691093445,256.4387088775635,None,257.83889412879944,258.8388171195984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,261.88954401016235,None,261.87332758903506,263.8724229335785,263.25564870834353,266.25577998161316,266.6558137893677,None,268.0559829235077,278.05650997161865,278.4564467430115,None,279.8565969467163,280.856938123703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
2,0,2,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,283.90729308128357,None,283.8911665439606,285.8905189037323,285.27396473884585,288.2741560935974,288.67400393486025,None,290.0740588665009,300.07457089424133,300.4744928836823,None,301.87503004074097,302.87468791007996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,02,English,A2,True,False,True,False,False,True,True,True,True,True,True,True,No,2,No,No,No,No,2020_Aug_11_1207,nibs_stage_1,3.2.3,60.02074958965898,
