run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_cont.started,Cali_de_pre_rec_cont.stopped,filename,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio_close.started,RS_intro_audio_close.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,Pause_cont.started,Pause_cont.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_cont.started,Cali_de_post_rec_cont.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,5.775532007217407,None,10.759865045547485,None,13.109317064285278,36.11102890968323,13.109317064285278,36.11102890968323,13.092663192749024,None,36.09582495689392,None,40.377541065216064,60.4121949672699,40.38057627677917,None,50.36140623092651,51.36444592475891,59.36219229698181,None,60.37882709503174,None,data/rec_cali_de_pre.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_000_trial_000.wav,62.77877593040466,76.81319999694824,62.77877593040466,76.81319999694824,62.76198725700378,None,76.76554012298584,None,79.29904007911682,89.34721398353577,89.2997190952301,None,94.51388812065125,126.56707406044006,94.51388812065125,126.56707406044006,94.49720921516419,None,126.51544904708862,None,128.0002040863037,153.00146293640137,127.98375525474549,None,128.58357014656067,None,142.98287620544434,143.99991512298584,151.98472514152527,None,152.98352193832397,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,158.11777806282043,183.1349070072174,158.10007543563844,None,158.6851243019104,None,173.08613529205323,174.1029200553894,182.08474531173707,None,183.0849621295929,158.11777806282043,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_000_trial_002.wav,,,,,,,,,,,,,,,,,,,,,188.13737511634827,213.15287804603577,188.11835546493532,None,188.70208230018616,None,203.1028682231903,204.10432195663452,212.10284414291382,None,213.10400795936584,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.12020611763,None,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,220.43749713897705,245.4544711112976,220.41999521255494,None,221.03649010658265,None,235.42257823944092,236.43920397758484,244.4248212814331,None,245.4544711112976,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,250.55495309829712,275.590115070343,250.53792543411257,None,251.12142720222474,None,265.52295913696287,266.53922295570374,274.5397762298584,None,275.55656003952026,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_001_trial_002.wav,,,,,,,,,,,,,,,,,,,,,280.5232710838318,305.5429630279541,280.5062452793121,None,281.1068083286285,None,295.5074261665344,296.52465295791626,304.4929112434387,305.5097849369049,305.5097849369049,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.45819997787476,None,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,data/rec_QA_pre_block_000_trial_000.wav,314.075031042099,328.1593859195709,314.075031042099,328.1593859195709,314.04189720153806,None,328.0927290916443,None,331.44388699531555,341.4930260181427,341.42630910873413,None,357.293653011322,389.3803291320801,357.293653011322,389.3803291320801,357.2777944087982,389.3137619495392,389.3137619495392,None,394.3287830352783,419.36370301246643,394.29657115936277,None,394.91214218139646,None,409.31358923912046,410.3299870491028,418.3152271747589,None,419.33051013946533,None,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_02_1424,nibs_stage_1,3.2.3,59.98118037381841,
