run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio_close.started,RS_intro_audio_close.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,0,0,0,5.355494022369385,19.35661005973816,5.355494022369385,19.35661005973816,5.354712009429932,None,19.33949899673462,None,21.773006916046143,31.773720026016235,31.75693106651306,None,34.20747113227844,66.22610592842102,34.20747113227844,66.22610592842102,34.20752100944519,None,66.17615294456482,None,67.65955710411072,92.66126608848572,67.65968399047851,None,68.24295310974121,None,82.64362697601318,83.64418005943298,91.64407210350036,92.64420413970947,91.64408302307129,None,./data/Subject_001/Session_001/Exp_data/rec_QA_run_00_block_000_trial_000.wav,,,001,001,,,2020_Jan_03_1412,nibs_stage_1,3.2.3,60.02074958965898,
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,96.66072106361389,121.66176700592041,96.64434103965759,None,97.24467401504516,None,111.64518098831176,112.6452329158783,120.64559202194214,121.64509105682373,120.64524412155151,96.66072106361389,./data/Subject_001/Session_001/Exp_data/rec_QA_run_00_block_000_trial_001.wav,,,001,001,,,2020_Jan_03_1412,nibs_stage_1,3.2.3,60.02074958965898,
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,125.66223812103271,150.66382908821106,125.64589099884033,None,126.24578003883362,None,140.64612393379213,141.64629793167114,149.64712505340577,None,149.64711999893188,125.66223812103271,./data/Subject_001/Session_001/Exp_data/rec_QA_run_00_block_000_trial_002.wav,,,001,001,,,2020_Jan_03_1412,nibs_stage_1,3.2.3,60.02074958965898,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.66320705413818,None,001,001,,,2020_Jan_03_1412,nibs_stage_1,3.2.3,60.02074958965898,
0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,159.39719796180725,184.39892506599426,159.39720206260682,None,159.98079400062562,None,174.38171391487123,None,183.38221101760865,184.3822259902954,183.38227105140686,None,./data/Subject_001/Session_001/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,001,001,,,2020_Jan_03_1412,nibs_stage_1,3.2.3,60.02074958965898,
0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,188.39820194244385,213.3995339870453,188.38237504959108,None,188.98228101730348,None,203.38325409889222,204.3833520412445,212.38368396759034,213.38286995887756,212.3837170600891,188.39820194244385,./data/Subject_001/Session_001/Exp_data/rec_QA_run_00_block_001_trial_001.wav,,,001,001,,,2020_Jan_03_1412,nibs_stage_1,3.2.3,60.02074958965898,
0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,217.40013098716736,242.40191411972046,217.38393907546998,None,217.98313813209535,None,232.38474397659303,233.3850131034851,241.38512711524965,242.38525390625,241.38519096374512,217.40013098716736,./data/Subject_001/Session_001/Exp_data/rec_QA_run_00_block_001_trial_002.wav,,,001,001,,,2020_Jan_03_1412,nibs_stage_1,3.2.3,60.02074958965898,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.4012370109558,None,001,001,,,2020_Jan_03_1412,nibs_stage_1,3.2.3,60.02074958965898,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_03_1412,nibs_stage_1,3.2.3,60.02074958965898,
1,0,1,0,0,0,0,0,0,0,0,0,247.28579592704773,261.3024640083313,247.28579592704773,261.3024640083313,247.28509693145753,None,261.26862597465515,None,262.11976313591003,272.1367619037628,272.1031610965729,None,273.25370502471924,305.2883949279785,273.25370502471924,305.2883949279785,273.25351910591127,None,305.23802495002747,None,306.0554039478302,331.0560231208801,306.0386019229889,None,306.62186794281007,None,321.0226231098175,322.0395839214325,330.02263193130494,None,330.0225319862366,None,./data/Subject_001/Session_001/Exp_data/rec_QA_run_01_block_000_trial_000.wav,,,001,001,,,2020_Jan_03_1412,nibs_stage_1,3.2.3,60.02074958965898,
