run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio_close.started,RS_intro_audio_close.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,Pause_cont.started,Pause_cont.stopped,fade_in_text.started,fade_in_text.stopped,fade_in_cont.started,fade_in_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,16.63835597038269,None,21.62186884880066,None,22.405184984207153,36.439390897750854,22.405184984207153,36.439390897750854,22.405157589912413,None,36.389439821243286,None,37.27301096916199,47.30658793449402,47.25658178329468,None,50.14042401313782,None,,,,,001,001,,,2020_Jan_20_1534,nibs_stage_1,3.2.3,59.968230865244244,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,50.79041600227356,None,,,,,001,001,,,2020_Jan_20_1534,nibs_stage_1,3.2.3,59.968230865244244,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1534,nibs_stage_1,3.2.3,59.968230865244244,
1,0,1,0,0,0,0,0,,,,,,,,,185.83055186271667,199.8814718723297,185.83055186271667,199.8814718723297,185.8134477376938,None,199.8146698474884,None,201.46483182907104,211.51503586769104,211.44847083091736,None,212.16535997390747,None,53.60690689086914,None,58.590229988098145,None,001,001,,,2020_Jan_20_1534,nibs_stage_1,3.2.3,59.968230865244244,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,212.6818299293518,None,,,,,001,001,,,2020_Jan_20_1534,nibs_stage_1,3.2.3,59.968230865244244,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1534,nibs_stage_1,3.2.3,59.968230865244244,
2,0,2,0,0,0,0,0,,,,,,,,,224.23246479034424,238.29987978935242,224.23246479034424,238.29987978935242,224.2160938024521,None,238.23342990875244,None,241.58347487449646,251.66707587242126,251.60041880607605,None,254.6173379421234,None,213.23160099983215,None,218.23204493522644,None,001,001,,,2020_Jan_20_1534,nibs_stage_1,3.2.3,59.968230865244244,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,255.63410878181458,None,,,,,001,001,,,2020_Jan_20_1534,nibs_stage_1,3.2.3,59.968230865244244,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1534,nibs_stage_1,3.2.3,59.968230865244244,
,,,,,,,,,,,,,,,,271.61817383766174,285.6692428588867,271.61817383766174,285.6692428588867,271.60176565647123,None,285.6026020050049,None,,,,,,,256.6341350078583,None,261.61756801605225,None,,,,,,,,,
