run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Pause_cont.started,Pause_cont.stopped,fade_in_text.started,fade_in_text.stopped,fade_in_cont.started,fade_in_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,5.591536998748779,None,10.574649095535278,None,11.991437911987305,None,,,,,001,001,,,2020_Jan_20_1602,nibs_stage_1,3.2.3,59.9923334382241,
0,0,0,0,1,0,1,0,,,,,,,,,13.658093929290771,None,,,,,001,001,,,2020_Jan_20_1602,nibs_stage_1,3.2.3,59.9923334382241,
0,0,0,0,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1602,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,0,0,0,0,,,,,,,,,32.99246692657471,None,19.10831594467163,None,24.092025995254517,None,001,001,,,2020_Jan_20_1602,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,1,0,1,0,,,,,,,,,34.35978889465332,None,,,,,001,001,,,2020_Jan_20_1602,nibs_stage_1,3.2.3,59.9923334382241,
1,0,1,0,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1602,nibs_stage_1,3.2.3,59.9923334382241,
2,0,2,0,0,0,0,0,,,,,,,,,41.30984091758728,None,36.15973496437073,None,41.142812967300415,None,001,001,,,2020_Jan_20_1602,nibs_stage_1,3.2.3,59.9923334382241,
2,0,2,0,1,0,1,0,,,,,,,,,42.45951008796692,None,,,,,001,001,,,2020_Jan_20_1602,nibs_stage_1,3.2.3,59.9923334382241,
2,0,2,0,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1602,nibs_stage_1,3.2.3,59.9923334382241,
3,0,3,0,0,0,0,0,,,,,,,,,67.3621780872345,None,44.71012496948242,None,49.69360589981079,None,001,001,,,2020_Jan_20_1602,nibs_stage_1,3.2.3,59.9923334382241,
