run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Pause_cont.started,Pause_cont.stopped,fade_in_text.started,fade_in_text.stopped,fade_in_cont.started,fade_in_cont.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,5.960599899291992,None,10.944065809249878,None,12.310629844665527,None,,,,,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
0,0,0,0,1,0,1,0,,,,,,,,,13.077356815338135,None,,,,,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
1,0,1,0,0,0,0,0,,,,,,,,,24.094735860824585,None,15.660676956176758,None,20.64441990852356,None,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
1,0,1,0,1,0,1,0,,,,,,,,,25.194648027420044,None,,,,,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
2,0,2,0,0,0,0,0,,,,,,,,,33.69590187072754,None,25.728046894073486,None,30.694912910461426,None,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
2,0,2,0,1,0,1,0,,,,,,,,,34.29502081871033,None,,,,,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
3,0,3,0,0,0,0,0,,,,,,,,,55.33088779449463,None,38.611838817596436,None,43.578742027282715,None,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
3,0,3,0,1,0,1,0,,,,,,,,,61.396580934524536,None,,,,,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1611,nibs_stage_1,3.2.3,60.00057221004687,
,,,,,,,,,,,,,,,,,,,,,,62.646798849105835,None,,,,,,,,,
