run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,fade_in_text.started,fade_in_text.stopped,fade_in_cont.started,fade_in_cont.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,7.197270154953003,None,12.180574178695679,None,,,,,001,001,,,2020_Jan_20_1647,nibs_stage_1,3.2.3,60.06329530841427,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,001,001,,,2020_Jan_20_1647,nibs_stage_1,3.2.3,60.06329530841427,
0,0,0,0,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1647,nibs_stage_1,3.2.3,60.06329530841427,
1,0,1,0,0,0,0,0,,,,,,,,,15.880585193634033,None,20.864262104034424,None,001,001,,,2020_Jan_20_1647,nibs_stage_1,3.2.3,60.06329530841427,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,001,001,,,2020_Jan_20_1647,nibs_stage_1,3.2.3,60.06329530841427,
1,0,1,0,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1647,nibs_stage_1,3.2.3,60.06329530841427,
2,0,2,0,0,0,0,0,,,,,,,,,36.03224802017212,None,41.03228807449341,None,001,001,,,2020_Jan_20_1647,nibs_stage_1,3.2.3,60.06329530841427,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,001,001,,,2020_Jan_20_1647,nibs_stage_1,3.2.3,60.06329530841427,
2,0,2,0,,,,,,,,,,,,,,,,,001,001,,,2020_Jan_20_1647,nibs_stage_1,3.2.3,60.06329530841427,
,,,,,,,,,,,,,,,,45.599364042282104,None,50.58262920379639,None,,,,,,,,,
