pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,fade_in_text.started,fade_in_text.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,5.977236032485962,None,10.963133096694946,None,,,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,0,0,0,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,1,0,1,0,0,0,0,0,,,,,13.694913148880005,23.695389986038208,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,1,0,1,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,2,0,2,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,3,0,3,0,,,,,,,,,,,,,01,01,,,2020_Feb_27_1601,nibs_stage_1,3.2.3,59.98263861577998,
,,,,,,,,,,,,,,,,,,23.794945001602173,None,,,,,,,,,
