pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,fade_in_text.started,fade_in_text.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,8.250335931777954,None,13.235501050949097,None,,,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
,,,,0,0,0,0,1,0,1,0,,,,,,,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
,,,,0,0,0,0,,,,,,,,,,,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
,,,,1,0,1,0,0,0,0,0,,,,,16.28511095046997,26.286180019378662,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
,,,,1,0,1,0,1,0,1,0,,,,,,,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
,,,,1,0,1,0,,,,,,,,,,,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
,,,,2,0,2,0,0,0,0,0,,,,,,,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
,,,,2,0,2,0,1,0,1,0,,,,,,,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
,,,,2,0,2,0,,,,,,,,,26.938225030899048,36.953269958496094,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
,,,,3,0,3,0,0,0,0,0,,,,,,,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
,,,,3,0,3,0,1,0,1,0,,,,,,,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
,,,,3,0,3,0,,,,,,,,,,,01,01,,,2020_Feb_27_1751,nibs_stage_1,3.2.3,59.9966241828663,
