pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_pre_block.thisRepN,QA_pre_block.thisTrialN,QA_pre_block.thisN,QA_pre_block.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,filename,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,6.666232109069824,None,11.635287046432495,None,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,,,,,,,,,0,0,0,0,,,,,12.652030944824219,None,12.651285910606385,None,13.216938972473145,27.618319988250732,30.619587683677672,31.61952495574951,39.619807505607604,40.62012004852295,40.62012004852295,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_post_trial_000.wav,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
,,,,,,,,,,,,1,0,1,0,,,,,42.1535210609436,None,42.1532457113266,None,42.73676300048828,57.13738298416138,60.13690164089203,61.137603998184204,69.13964154720307,None,70.13976001739502,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_post_trial_001.wav,01,01,,,2020_Feb_27_2002,nibs_stage_1,3.2.3,60.21194676926169,
