pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,filename,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,8.337663888931274,None,13.321377992630005,None,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,20.7720308303833,None,20.7720308303833,None,20.76438348293304,None,43.75661087036133,None,43.78979682922363,None,43.77330086231232,None,44.35644483566284,58.75619292259216,61.7572607755661,None,70.75690290927886,71.75694680213928,71.9569787979126,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_post_trial_000.wav,,,01,01,,,2020_Feb_28_1937,nibs_stage_1,3.2.3,59.99199020516518,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.79117894172668,None,,,,,,,,,
