pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_in_text.started,fade_in_text.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7.7589499950408936,None,12.742668151855469,None,13.259129047393799,None,13.242687249183655,15.242853164672852,15.642804789543153,None,30.043510842323304,None,39.84400384426117,None,41.24404716491699,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,43.26104807853699,None,43.24415390491485,45.24427604675293,45.644302773475644,48.36108613014221,60.045027899742124,61.045021057128906,69.84555284976959,None,71.24553918838501,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,85.37955713272095,None,85.36316142082214,87.36323308944702,87.7632157087326,None,102.16422073841095,103.16399502754211,111.96466867923736,112.96368408203125,113.3637330532074,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_000.wav,75.27930212020874,85.27978205680847,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,115.38009214401245,None,115.36356370449066,117.36373805999756,117.76348869800567,121.63059210777283,132.1655027151108,None,141.9657007932663,None,143.36577916145325,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,145.41564798355103,None,145.39924123287201,147.39933896064758,147.79937784671785,153.26624011993408,162.1833729028702,163.18340802192688,171.98385088443757,None,173.3839671611786,175.38425397872925,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_000_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
,,,,2,0,2,0,1,0,1,0,0,0,0,0,,,,,,,,,175.41741013526917,None,175.40091769695283,177.4008011817932,177.80078880786897,None,192.20154778957368,None,202.0019888162613,None,203.40205812454224,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_02_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1004,nibs_stage_1,3.2.3,59.871244757720326,
