pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_intro_cont.started,RS_intro_cont.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_in_text.started,fade_in_text.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,6.413158893585205,None,11.381572008132935,None,30.815845012664795,53.816083908081055,30.815845012664795,53.816083908081055,30.815489315986632,None,54.20072293281555,None,71.65423083305359,None,71.63459851741791,73.6337308883667,74.01803088188171,88.01871991157532,88.41859152317048,89.41782093048096,98.21917130947114,99.21831488609314,99.61919093132019,101.61843705177307,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,139.02044105529785,153.02095890045166,139.02044105529785,153.02095890045166,139.02092530727387,None,153.42101883888245,None,155.5960350036621,165.604877948761,167.37183785438538,None,170.11178493499756,202.12336087226868,170.11178493499756,202.12336087226868,170.08857038021088,None,202.49012088775635,None,214.04808902740479,None,214.02491643428803,216.02403283119202,216.42499043941498,221.45782089233398,230.84208538532258,None,240.64257147312165,None,242.05925488471985,None,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,244.07646203041077,None,244.05950193405153,246.09295797348022,246.44285538196564,None,260.8435783624649,261.8602478504181,270.66070845127103,271.6773989200592,272.07742500305176,None,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_000.wav,320.0357458591461,334.06378984451294,320.0357458591461,334.06378984451294,320.0140683889389,None,334.43082189559937,None,341.98533391952515,352.01468205451965,353.78177785873413,None,360.65576004981995,392.68352603912354,360.65576004981995,392.68352603912354,360.63146140575407,None,393.05036902427673,None,394.53879499435425,None,394.51617839336393,396.53360199928284,396.9169254541397,None,411.3176343679428,412.3343210220337,421.11828734874723,422.1348078250885,422.5351710319519,None,276.0660948753357,286.0950758457184,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,424.55691289901733,None,424.518279337883,426.55206990242004,426.935095334053,None,441.3357644319534,442.352814912796,451.13624646663663,452.1530330181122,452.55296182632446,None,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_04_1024,nibs_stage_1,3.2.3,60.02976940163503,
