pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_in_text.started,fade_in_text.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,text_3.started,text_3.stopped,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,5.671243906021118,None,10.655218124389648,None,51.0943329334259,81.10949802398682,51.0943329334259,81.10949802398682,51.078297686576846,None,81.4766640663147,None,94.76231408119202,None,94.74339563846588,96.75833892822266,97.12496399879456,124.72606992721558,111.52591879367829,None,121.3310898065567,None,122.73097801208496,124.74274802207947,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1026,nibs_stage_1,3.2.3,60.00022888270905,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,136.75981092453003,None,192.58249711990356,None,192.58249711990356,None,192.58082659244536,None,217.59898209571838,227.61350393295288,229.39907908439636,None,235.8013288974762,275.80395102500916,235.8013288974762,275.80395102500916,235.78263075351714,None,276.1844251155853,None,278.1587710380554,None,278.13839371204375,280.1490840911865,280.5324757814407,284.88267612457275,285.29953773021697,None,304.7335396528244,305.7386689186096,306.1386868953705,None,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1026,nibs_stage_1,3.2.3,60.00022888270905,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.16970896720886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1026,nibs_stage_1,3.2.3,60.00022888270905,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,320.21974897384644,None,320.2030743598938,322.2176640033722,322.58434159755706,328.06972002983093,328.4565675973892,None,346.7739747285843,347.78549098968506,348.18553590774536,350.19055795669556,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1026,nibs_stage_1,3.2.3,60.00022888270905,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.22165393829346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1026,nibs_stage_1,3.2.3,60.00022888270905,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1026,nibs_stage_1,3.2.3,60.00022888270905,
,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_000.wav,,,416.5819001197815,None,416.5819001197815,None,416.56151564121245,None,441.60892391204834,451.62374997138977,453.4093179702759,None,457.144406080246,497.147696018219,457.144406080246,497.147696018219,457.1260905981064,None,497.5281090736389,None,498.4633979797363,None,498.44491560459136,500.45941400527954,500.8426986455917,503.3978910446167,503.80971772670745,None,525.043979716301,526.0441949367523,526.4440639019012,None,365.9787929058075,375.98677492141724,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1026,nibs_stage_1,3.2.3,60.00022888270905,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.4611420631409,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1026,nibs_stage_1,3.2.3,60.00022888270905,
,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,545.5322370529175,None,545.5138047456742,547.5167260169983,547.8951767206192,None,552.1120308160782,None,572.0962815999985,None,573.4974339008331,575.4965240955353,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1026,nibs_stage_1,3.2.3,60.00022888270905,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.550055027008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1026,nibs_stage_1,3.2.3,60.00022888270905,
