pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,filename,participant,session,First language,German level,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
,,,,,,,,,,,,,,,,0,0,0,0,6.11819314956665,36.117445945739746,6.11819314956665,36.117445945739746,6.098504900932312,None,36.501157999038696,None,37.48793697357178,None,37.4731251001358,39.48409914970398,39.86795711517334,67.4747109413147,54.26811611652374,None,64.07461297512054,None,65.46866393089294,67.4747109413147,./data/Subject_01/Session_01/Exp_data/rec_cali_de_post_trial_000.wav,01,01,,,2020_Mär_09_1121,nibs_stage_1,3.2.3,60.052115846080724,
