pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,Pause_cont.started,Pause_cont.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,fade_in_text.started,fade_in_text.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,the_end_text.started,the_end_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,14.557400941848755,None,19.54130506515503,None,29.191998958587646,59.192607164382935,29.191998958587646,59.192607164382935,29.191521453857423,None,59.57662105560303,None,61.16029715538025,None,61.16026334762573,63.15971612930298,63.54305601119995,91.14441394805908,77.94455151557922,None,87.74437646865844,None,89.14515209197998,91.14441394805908,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_09_1432,nibs_stage_1,3.2.3,59.943462291520774,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,186.46953916549683,None,146.414400100708,None,146.414400100708,None,146.41429738998414,None,171.4323410987854,181.43238711357117,183.200031042099,None,205.10016703605652,245.10248398780823,205.10016703605652,245.10248398780823,205.10023550987245,None,245.48589611053467,None,246.30250716209412,None,246.28610258102418,248.28572702407837,248.68579344749452,None,254.68587141036988,255.68597102165222,272.8872254371643,None,274.28762793540955,276.28718400001526,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_09_1432,nibs_stage_1,3.2.3,59.943462291520774,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.3201639652252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_09_1432,nibs_stage_1,3.2.3,59.943462291520774,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,289.9548330307007,None,289.954536485672,291.95967507362366,292.3377404689789,294.9052309989929,295.32193450927736,296.32643008232117,316.53992943763734,317.54013204574585,317.94030499458313,319.9441120624542,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_09_1432,nibs_stage_1,3.2.3,59.943462291520774,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.98025393486023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_09_1432,nibs_stage_1,3.2.3,59.943462291520774,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_09_1432,nibs_stage_1,3.2.3,59.943462291520774,
,,,,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_000_trial_000.wav,419.3632140159607,None,380.8922300338745,None,380.8922300338745,None,380.8757534503937,None,405.9099431037903,415.91079115867615,417.71099305152893,None,460.7485320568085,500.7482199668884,460.7485320568085,500.7482199668884,460.7318594932556,None,501.11484694480896,None,502.03186416625977,None,502.0157654762268,504.0149140357971,504.4148784160614,None,507.5039804458618,None,528.6049714565277,529.6164391040802,530.0166051387787,None,334.00975012779236,344.02388405799866,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_09_1432,nibs_stage_1,3.2.3,59.943462291520774,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0330531597137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_09_1432,nibs_stage_1,3.2.3,59.943462291520774,
,,,,1,0,1,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_01_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,544.0526261329651,None,544.035942363739,546.0504009723663,546.4343095302581,549.7339370250702,550.1506295680999,None,570.6349664211273,None,572.0355560779572,574.0404181480408,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_09_1432,nibs_stage_1,3.2.3,59.943462291520774,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0718460083008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_09_1432,nibs_stage_1,3.2.3,59.943462291520774,
