pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,the_end_text.started,the_end_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,0,0,0,0,,,,,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,1,0,1,0,,,,,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,2,0,2,0,,,,,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,3,0,3,0,,,,,,,,,,,,,,,01,01,,A1,False,False,False,False,False,False,False,False,True,No,No,No,No,No,No,2020_Mär_09_1813,nibs_stage_1,3.2.3,59.993792222541664,
,,,,,,,,,,,,,,,,,,,,18.053972005844116,None,,,,,,,,,,,,,,,,,,,,,,,,
