pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,fade_in_text.started,fade_in_text.stopped,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,filename,the_end_text.started,the_end_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,144.59388399124146,150.60929894447327,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,2,0,2,0,,,,,,,,,,,,,334.9125168323517,340.9202377796173,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,3,0,3,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,,,,,,,,,,,,,0,0,0,0,,,465.1829969882965,495.19532895088196,465.1829969882965,495.19532895088196,465.162501168251,None,495.5452449321747,None,495.5953598022461,None,495.5785787582397,497.5785768032074,497.98165583610535,None,503.3790927171707,None,522.178774857521,None,523.5671668052673,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_post_trial_000.wav,,,01,01,,A1,True,False,False,False,True,False,False,True,True,No,No,No,No,No,No,2020_Mär_13_1320,nibs_stage_1,3.2.3,60.00203139506772,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.578959941864,None,,,,,,,,,,,,,,,,,,,,,,,,
