pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,Cali_de_pre_intro_title.started,Cali_de_pre_intro_title.stopped,Cali_de_pre_intro_text.started,Cali_de_pre_intro_text.stopped,Cali_de_pre_intro_audio.started,Cali_de_pre_intro_audio.stopped,Cali_de_pre_intro_cont.started,Cali_de_pre_intro_cont.stopped,Cali_de_pre_rec_text.started,Cali_de_pre_rec_text.stopped,Cali_de_pre_rec_beep_hint.started,Cali_de_pre_rec_beep_hint.stopped,Cali_de_pre_rec_question_text.started,Cali_de_pre_rec_question_text.stopped,Cali_de_pre_rec_beep_start.started,Cali_de_pre_rec_beep_start.stopped,Cali_de_pre_rec_beep_end.started,Cali_de_pre_rec_beep_end.stopped,Cali_de_pre_rec_break.started,Cali_de_pre_rec_break.stopped,filename,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,17.049197912216187,None,22.037837982177734,None,61.03503489494324,91.0366051197052,61.03503489494324,91.0366051197052,61.03501062393188,None,91.40774011611938,None,91.44019103050232,None,91.42440681457519,93.43658089637756,93.82451105117798,None,99.22030572891235,100.2253429889679,119.02121477127075,None,120.42592096328735,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1605,practice,3.2.3,59.99087472484721,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,121.47104811668396,None,121.47127308845519,123.47156500816345,123.85486793518066,None,129.25501065254213,None,149.05611782073976,None,150.4560980796814,None,./data/Subject_01/Session_01/Exp_data/rec_cali_de_pre_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1605,practice,3.2.3,59.99087472484721,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,190.5080099105835,None,190.5080099105835,None,190.50804882049562,None,215.52830290794373,225.54308199882507,227.29788208007812,None,230.37679505348206,270.38352489471436,230.37679505348206,270.38352489471436,230.37679677009584,None,270.7619869709015,None,270.7952380180359,None,270.7786536693573,272.7795760631561,273.18371467590333,277.979101896286,278.3958197116852,None,297.3804967880249,None,298.7801330089569,300.78079104423523,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1605,practice,3.2.3,59.99087472484721,
,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,300.8305480480194,None,300.8307911396027,302.83053398132324,303.21368770599366,None,306.99735074043275,307.99789595603943,327.4154646873474,328.41493010520935,328.81494212150574,None,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1605,practice,3.2.3,59.99087472484721,
,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_002.wav,,,,,,,,,,,,,,,,,,,330.79848408699036,None,330.79839568138124,332.7990679740906,333.1865797519684,None,336.7987807273865,337.79956102371216,357.3832347869873,None,358.7831230163574,360.7831919193268,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1605,practice,3.2.3,59.99087472484721,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1605,practice,3.2.3,59.99087472484721,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,360.81639194488525,None,360.7998586177826,362.8001720905304,363.20018367767335,365.25471210479736,365.66683678627015,None,387.4036267280579,388.4031889438629,388.80321192741394,None,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1605,practice,3.2.3,59.99087472484721,
,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,390.82147192955017,None,390.8036416053772,392.80341696739197,393.2037926197052,396.58709597587585,396.98700766563417,None,417.39063982963563,None,418.8050260543823,None,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1605,practice,3.2.3,59.99087472484721,
,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_002.wav,,,,,,,,,,,,,,,,,,,420.8054459095001,None,420.7885256290436,422.7884159088135,423.19109468460084,426.6389079093933,427.0244827747345,None,447.37404160499574,448.38952112197876,448.78955006599426,None,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1605,practice,3.2.3,59.99087472484721,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1605,practice,3.2.3,59.99087472484721,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,True,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1605,practice,3.2.3,59.99087472484721,
