pre_trial.thisRepN,pre_trial.thisTrialN,pre_trial.thisN,pre_trial.thisIndex,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,instruction_text.started,instruction_text.stopped,instruction_cont.started,instruction_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,Cali_de_post_intro_title.started,Cali_de_post_intro_title.stopped,Cali_de_post_intro_text.started,Cali_de_post_intro_text.stopped,Cali_de_post_intro_audio.started,Cali_de_post_intro_audio.stopped,Cali_de_post_intro_cont.started,Cali_de_post_intro_cont.stopped,Cali_de_post_rec_text.started,Cali_de_post_rec_text.stopped,Cali_de_post_rec_beep_hint.started,Cali_de_post_rec_beep_hint.stopped,Cali_de_post_rec_question_text.started,Cali_de_post_rec_question_text.stopped,Cali_de_post_rec_beep_start.started,Cali_de_post_rec_beep_start.stopped,Cali_de_post_rec_beep_end.started,Cali_de_post_rec_beep_end.stopped,Cali_de_post_rec_break.started,Cali_de_post_rec_break.stopped,the_end_text.started,the_end_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Cali_pre,Resting_State,Fade_in_out,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,21.70401906967163,None,26.6887309551239,None,66.25664591789246,106.25853204727173,66.25664591789246,106.25853204727173,66.2570470571518,None,106.64183402061462,None,106.67548894882202,None,106.65849602222443,108.65871500968933,109.0586611032486,None,114.49213802814484,None,133.2618659734726,None,134.65984201431274,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,False,False,False,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1613,practice,3.2.3,60.07095134090014,
,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,136.68015313148499,None,136.66453111171722,138.67874002456665,139.06503403186798,142.51041913032532,142.91040694713593,None,163.26124703884125,None,164.66159796714783,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,False,False,False,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1613,practice,3.2.3,60.07095134090014,
,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,166.68176698684692,None,166.66602504253387,168.6781120300293,169.06623709201813,172.44496703147888,172.84518611431122,None,193.2507370710373,None,194.6628451347351,196.66303992271423,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_000_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,False,False,False,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1613,practice,3.2.3,60.07095134090014,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,False,False,False,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1613,practice,3.2.3,60.07095134090014,
,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,196.73000407218933,None,196.71302592754364,198.7130880355835,199.11316192150116,202.88048005104065,203.29864609241486,None,223.31428492069244,None,224.71439790725708,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_000.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,False,False,False,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1613,practice,3.2.3,60.07095134090014,
,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,226.6816201210022,None,226.6651929616928,228.6646649837494,229.06466114521027,None,231.53131091594696,None,253.25134694576263,None,254.65130305290222,256.65126395225525,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_001.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,False,False,False,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1613,practice,3.2.3,60.07095134090014,
,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,256.68494296073914,None,256.66792595386505,258.6846549510956,259.054447054863,262.45187401771545,262.86846911907196,263.86824893951416,283.2525500059128,None,284.65537691116333,None,./data/Subject_01/Session_01/Exp_data/rec_QA_run_00_block_001_trial_002.wav,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,False,False,False,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1613,practice,3.2.3,60.07095134090014,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,False,False,False,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1613,practice,3.2.3,60.07095134090014,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,01,,A1,True,True,False,False,False,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1613,practice,3.2.3,60.07095134090014,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,./data/Subject_01/Session_01/Exp_data/rec_cali_de_post_trial_000.wav,286.72015595436096,316.73560094833374,286.72015595436096,316.73560094833374,286.70555913448334,None,317.11874294281006,None,317.15208101272583,None,317.15206694602966,319.1713180541992,319.55457305908203,None,324.9383109807968,None,344.7392929792404,None,346.13902497291565,None,,,01,01,,A1,True,True,False,False,False,True,True,True,True,No,No,No,No,No,No,2020_Mär_13_1613,practice,3.2.3,60.07095134090014,
